Player,Salary,Year
Jae Crowder,"$7,305,825 ",2019
Thabo Sefolosha,"$5,250,000 ",2019
Ekpe Udoh,"$3,360,000 ",2019
Donovan Mitchell,"$3,111,480 ",2019
Raul Neto,"$2,150,000 ",2019
Grayson Allen,"$2,074,320 ",2019
Tony Bradley,"$1,679,520 ",2019
Georges Niang,"$1,512,601 ",2019
Royce O'Neale,"$1,378,242 ",2019
Naz Mitrou-Long,$0 ,2019
Tyler Cavanaugh,$0 ,2019
Mike Conley,"$32,511,623 ",2020
Rudy Gobert,"$25,008,427 ",2020
Bojan Bogdanovic,"$17,000,000 ",2020
Jordan Clarkson,"$13,437,500 ",2020
Joe Ingles,"$11,207,387 ",2020
Ed Davis,"$4,767,000 ",2020
Donovan Mitchell,"$3,635,760 ",2020
Jeff Green,"$2,564,753 ",2020
Tony Bradley,"$1,962,360 ",2020
Emmanuel Mudiay,"$1,737,145 ",2020
Georges Niang,"$1,678,854 ",2020
Royce O'Neale,"$1,618,520 ",2020
Nigel Williams-Goss,"$1,500,000 ",2020
Miye Oni,"$842,166 ",2020
Juwan Morgan,"$746,054 ",2020
Rayjon Tucker,"$578,573 ",2020
Stanton Kidd,"$250,000 ",2020
William Howard,"$50,000 ",2020
Jarrell Brantley,$0 ,2020
Justin Wright-Foreman,$0 ,2020
Mike Conley,"$34,504,132 ",2021
Rudy Gobert,"$27,525,281 ",2021
Bojan Bogdanovic,"$17,661,000 ",2021
Jordan Clarkson,"$11,500,000 ",2021
Joe Ingles,"$10,863,637 ",2021
Derrick Favors,"$9,258,000 ",2021
Royce O'Neale,"$8,500,000 ",2021
Donovan Mitchell,"$5,195,501 ",2021
Udoka Azubuike,"$1,977,000 ",2021
Georges Niang,"$1,783,557 ",2021
Matt Thomas,"$1,517,981 ",2021
Miye Oni,"$1,517,981 ",2021
Juwan Morgan,"$1,517,981 ",2021
Elijah Hughes,"$898,310 ",2021
Shaquille Harrison,"$770,433 ",2021
Ersan Ilyasova,"$754,783 ",2021
Trent Forrest,$0 ,2021
Jarrell Brantley,$0 ,2021
Rudy Gobert,"$35,344,828 ",2022
Donovan Mitchell,"$28,103,500 ",2022
Mike Conley,"$21,000,000 ",2022
Bojan Bogdanovic,"$18,502,000 ",2022
Jordan Clarkson,"$12,420,000 ",2022
Royce O'Neale,"$8,800,000 ",2022
Juancho Hernangomez,"$6,175,440 ",2022
Rudy Gay,"$5,890,000 ",2022
Nickeil Alexander-Walker,"$3,261,480 ",2022
Hassan Whiteside,"$2,401,537 ",2022
Udoka Azubuike,"$2,075,880 ",2022
Eric Paschall,"$1,782,621 ",2022
Danuel House,"$991,967 ",2022
Jared Butler,"$925,258 ",2022
Greg Monroe,"$138,019 ",2022
Denzel Valentine,"$111,457 ",2022
Norvel Pelle,"$95,930 ",2022
Zylan Cheatham,"$89,057 ",2022
Jarrell Brantley,"$84,414 ",2022
Trent Forrest,"$8,558 ",2022
Malik Fitts,$0 ,2022
Justin James,$0 ,2022
Xavier Sneed,$0 ,2022
Russell Westbrook,"$47,063,478 ",2023
Collin Sexton,"$16,500,000 ",2023
Lauri Markkanen,"$16,475,454 ",2023
Jordan Clarkson,"$13,340,000 ",2023
Kelly Olynyk,"$12,804,878 ",2023
Talen Horton-Tucker,"$10,260,000 ",2023
Rudy Gay,"$6,184,500 ",2023
Ochai Agbaji,"$3,918,360 ",2023
Simone Fontecchio,"$3,205,128 ",2023
Walker Kessler,"$2,696,400 ",2023
Leandro Bolmaro,"$2,471,160 ",2023
Stanley Johnson,"$2,351,521 ",2023
Damian Jones,"$2,298,385 ",2023
Udoka Azubuike,"$2,174,880 ",2023
Juan Toscano-Anderson,"$1,836,090 ",2023
Cody Zeller,"$1,836,090 ",2023
Tyler Cook,"$1,836,090 ",2023
Saben Lee,"$1,752,638 ",2023
Paris Bass,"$1,637,966 ",2023
Jared Butler,"$1,563,518 ",2023
Isaiah Miller,"$1,017,781 ",2023
Jeenathan Williams,"$1,017,781 ",2023
Kris Dunn,"$735,819 ",2023
Frank Jackson,"$105,522 ",2023
Kris Dunn,"$105,522 ",2023
Kris Dunn,"$105,522 ",2023
Jarrell Brantley,"$105,522 ",2023
