,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
3,Year/Year,,0.0%,0.2%,-1.7%,0.009,-6.4%,-6.7%,0.002,-9.7%,0.4%,-2.9%,-1.5%,4.3%,-0.8%,1986,0.8%,-7.6%,1.7%,37.5%,16.7%,0.051,-0.8%,-2.6%,0.009
4,Opponent,82.0,19780,3435,7239,0.475,2115,2758,0.767,1131,2494,3625,2122,1945,9071,1986,711,364,1331,86,297,0.29,3349,6942,0.482
5,Opponent/G,,241.2,41.9,88.3,0.475,25.8,33.6,0.767,13.8,30.4,44.2,25.9,23.7,110.6,1986,8.7,4.4,16.2,1.0,3.6,0.29,40.8,84.7,0.482
6,Lg Rank,,15,6,9,6.0,23,23,20.0,7,17,15,13,21,11,1986,11,3,18,16,18,14.0,6,8,7.0
7,Year/Year,,0.0%,-3.2%,-2.4%,-0.004,7.6%,8.0%,-0.003,-6.5%,1.8%,-1.0%,-4.2%,-7.4%,-0.6%,1986,16.2%,-15.2%,-1.9%,22.9%,17.4%,0.013,-3.7%,-3.1%,-0.003
0,Team,82.0,19755,3349,7122,0.47,1779,2554,0.697,1257,2420,3677,1912,1853,8558,1987,672,559,1619,81,338,0.24,3268,6784,0.482
1,Team/G,,240.9,40.8,86.9,0.47,21.7,31.1,0.697,15.3,29.5,44.8,23.3,22.6,104.4,1987,8.2,6.8,19.7,1.0,4.1,0.24,39.9,82.7,0.482
2,Lg Rank,,19,20,19,20.0,16,9,23.0,7,10,6,22,4,22,1987,18,3,23,17,16,20.0,19,16,18.0
3,Year/Year,,-0.1%,-3.7%,-1.6%,-0.01,1.8%,9.8%,-0.055,15.7%,-1.4%,3.8%,-7.4%,-18.3%,-3.1%,1987,7.2%,28.2%,14.7%,-38.6%,-13.6%,-0.098,-2.3%,-0.9%,-0.007
4,Opponent,82.0,19755,3556,7441,0.478,1664,2209,0.753,1254,2396,3650,2056,2076,8871,1987,810,479,1398,95,342,0.278,3461,7099,0.488
5,Opponent/G,,240.9,43.4,90.7,0.478,20.3,26.9,0.753,15.3,29.2,44.5,25.1,25.3,108.2,1987,9.9,5.8,17.0,1.2,4.2,0.278,42.2,86.6,0.488
6,Lg Rank,,19,15,17,9.0,4,4,4.0,18,14,15,9,5,11,1987,21,18,12,3,4,3.0,17,21,9.0
7,Year/Year,,-0.1%,3.5%,2.8%,0.003,-21.3%,-19.9%,-0.014,10.9%,-3.9%,0.7%,-3.1%,6.7%,-2.2%,1987,13.9%,31.6%,5.0%,10.5%,15.2%,-0.012,3.3%,2.3%,0.005
0,Team,82.0,19780,3313,6755,0.49,1813,2438,0.744,1015,2289,3304,2070,1836,8566,1988,733,526,1439,127,336,0.378,3186,6419,0.496
1,Team/G,,241.2,40.4,82.4,0.49,22.1,29.7,0.744,12.4,27.9,40.3,25.2,22.4,104.5,1988,8.9,6.4,17.5,1.5,4.1,0.378,38.9,78.3,0.496
2,Lg Rank,,9,20,23,6.0,13,10,20.0,22,20,23,12,4,21,1988,7,3,18,14,16,2.0,19,20,8.0
3,Year/Year,,0.1%,-1.1%,-5.2%,0.02,1.9%,-4.5%,0.047,-19.3%,-5.4%,-10.1%,8.3%,-0.9%,0.1%,1988,9.1%,-5.9%,-11.1%,56.8%,-0.6%,0.138,-2.5%,-5.4%,0.015
4,Opponent,82.0,19780,3383,7101,0.476,1611,2044,0.788,1159,2255,3414,1989,2021,8504,1988,692,449,1439,127,400,0.318,3256,6701,0.486
5,Opponent/G,,241.2,41.3,86.6,0.476,19.6,24.9,0.788,14.1,27.5,41.6,24.3,24.6,103.7,1988,8.4,5.5,17.5,1.5,4.9,0.318,39.7,81.7,0.486
6,Lg Rank,,9,9,9,11.0,3,3,23.0,12,5,4,6,4,2,1988,11,15,7,10,12,12.0,9,9,10.0
7,Year/Year,,0.1%,-4.9%,-4.6%,-0.001,-3.2%,-7.5%,0.035,-7.6%,-5.9%,-6.5%,-3.3%,-2.6%,-4.1%,1988,-14.6%,-6.3%,2.9%,33.7%,17.0%,0.04,-5.9%,-5.6%,-0.002
0,Team,82.0,19755,3466,6904,0.502,1821,2438,0.747,1033,2475,3508,2260,1592,8923,1989,791,586,1323,170,474,0.359,3296,6430,0.513
1,Team/G,,240.9,42.3,84.2,0.502,22.2,29.7,0.747,12.6,30.2,42.8,27.6,19.4,108.8,1989,9.6,7.1,16.1,2.1,5.8,0.359,40.2,78.4,0.513
2,Lg Rank,,21,13,23,1.0,11,7,19.0,24,9,19,5,1,12,1989,10,2,9,14,16,3.0,12,22,3.0
3,Year/Year,,-0.1%,4.6%,2.2%,0.012,0.4%,0.0%,0.003,1.8%,8.1%,6.2%,9.2%,-13.3%,4.2%,1989,7.9%,11.4%,-8.1%,33.9%,41.1%,-0.019,3.5%,0.2%,0.016
4,Opponent,82.0,19755,3385,7346,0.461,1358,1748,0.777,1214,2283,3497,2043,1970,8300,1989,685,363,1429,172,508,0.339,3213,6838,0.47
5,Opponent/G,,240.9,41.3,89.6,0.461,16.6,21.3,0.777,14.8,27.8,42.6,24.9,24.0,101.2,1989,8.4,4.4,17.4,2.1,6.2,0.339,39.2,83.4,0.47
6,Lg Rank,,21,7,17,3.0,1,1,22.0,17,6,8,7,9,3,1989,8,5,12,14,6,17.0,5,18,3.0
7,Year/Year,,-0.1%,0.1%,3.5%,-0.016,-15.7%,-14.5%,-0.011,4.7%,1.2%,2.4%,2.7%,-2.5%,-2.4%,1989,-1.0%,-19.2%,-0.7%,35.4%,27.0%,0.021,-1.3%,2.0%,-0.016
0,Team,82.0,19880,3214,6977,0.461,1637,2201,0.744,1128,2380,3508,2106,1666,8411,1990,645,512,1243,346,851,0.407,2868,6126,0.468
1,Team/G,,242.4,39.2,85.1,0.461,20.0,26.8,0.744,13.8,29.0,42.8,25.7,20.3,102.6,1990,7.9,6.2,15.2,4.2,10.4,0.407,35.0,74.7,0.468
2,Lg Rank,,2,25,22,22.0,20,18,22.0,14,17,16,10,1,21,1990,21,3,10,1,1,1.0,27,25,23.0
3,Year/Year,,0.6%,-7.3%,1.1%,-0.041,-10.1%,-9.7%,-0.003,9.2%,-3.8%,0.0%,-6.8%,4.6%,-5.7%,1990,-18.5%,-12.6%,-6.0%,103.5%,79.5%,0.048,-13.0%,-4.7%,-0.044
4,Opponent,82.0,19880,3418,7135,0.479,1444,1898,0.761,1134,2451,3585,2137,1893,8436,1990,680,379,1294,156,500,0.312,3262,6635,0.492
5,Opponent/G,,242.4,41.7,87.0,0.479,17.6,23.1,0.761,13.8,29.9,43.7,26.1,23.1,102.9,1990,8.3,4.6,15.8,1.9,6.1,0.312,39.8,80.9,0.492
6,Lg Rank,,2,15,14,15.0,1,1,11.0,14,18,18,23,14,6,1990,14,4,14,5,6,5.0,17,16,16.0
7,Year/Year,,0.6%,1.0%,-2.9%,0.018,6.3%,8.6%,-0.016,-6.6%,7.4%,2.5%,4.6%,-3.9%,1.6%,1990,-0.7%,4.4%,-9.4%,-9.3%,-1.6%,-0.027,1.5%,-3.0%,0.022
0,Team,82.0,19830,3259,6857,0.475,1665,2176,0.765,1011,2329,3340,2240,1672,8343,1991,643,450,1281,160,479,0.334,3099,6378,0.486
1,Team/G,,241.8,39.7,83.6,0.475,20.3,26.5,0.765,12.3,28.4,40.7,27.3,20.4,101.7,1991,7.8,5.5,15.6,2.0,5.8,0.334,37.8,77.8,0.486
