Player,Salary,Year
Kosta Koufos,"$8,393,000 ",2018
Garrett Temple,"$8,000,000 ",2018
Vince Carter,"$8,000,000 ",2018
De'Aaron Fox,"$4,609,200 ",2018
Willie Cauley-Stein,"$3,704,160 ",2018
Buddy Hield,"$3,675,480 ",2018
Bruno Caboclo,"$2,451,225 ",2018
Justin Jackson,"$2,365,560 ",2018
Georgios Papagiannis,"$2,301,360 ",2018
Matt Barnes,"$2,133,542 ",2018
Anthony Tolliver,"$2,000,000 ",2018
Harry Giles,"$1,859,400 ",2018
Arron Afflalo,"$1,500,000 ",2018
Skal Labissiere,"$1,312,611 ",2018
Frank Mason,"$1,184,385 ",2018
Caron Butler,"$517,220 ",2018
Nigel Hayes,"$55,296 ",2018
Jack Cooley,$0 ,2018
JaKarr Sampson,$0 ,2018
Harrison Barnes,"$24,107,258 ",2019
Alec Burks,"$11,536,515 ",2019
Bogdan Bogdanovic,"$9,000,000 ",2019
Kosta Koufos,"$8,739,500 ",2019
Marvin Bagley,"$7,305,600 ",2019
Nemanja Bjelica,"$6,500,000 ",2019
De'Aaron Fox,"$5,470,920 ",2019
Ben McLemore,"$5,460,000 ",2019
Willie Cauley-Stein,"$4,696,875 ",2019
Buddy Hield,"$3,833,760 ",2019
Yogi Ferrell,"$3,000,000 ",2019
Corey Brewer,"$2,270,496 ",2019
Harry Giles,"$2,207,040 ",2019
Matt Barnes,"$2,133,542 ",2019
Georgios Papagiannis,"$2,000,400 ",2019
Caleb Swanigan,"$1,740,000 ",2019
Deyonta Davis,"$1,544,951 ",2019
Frank Mason,"$1,378,242 ",2019
Caron Butler,"$517,219 ",2019
Cody Demps,"$47,371 ",2019
B.J. Johnson,"$47,371 ",2019
Wenyen Gabriel,$0 ,2019
Troy Williams,$0 ,2019
Harrison Barnes,"$24,147,727 ",2020
Kent Bazemore,"$19,269,662 ",2020
Cory Joseph,"$12,000,000 ",2020
Marvin Bagley,"$8,556,120 ",2020
Bogdan Bogdanovic,"$8,529,386 ",2020
Nemanja Bjelica,"$6,825,000 ",2020
Jabari Parker,"$6,500,000 ",2020
De'Aaron Fox,"$6,392,760 ",2020
Buddy Hield,"$4,861,208 ",2020
Richaun Holmes,"$4,767,000 ",2020
Alex Len,"$4,160,000 ",2020
Yogi Ferrell,"$3,150,000 ",2020
Harry Giles,"$2,578,800 ",2020
Anthony Tolliver,"$2,419,852 ",2020
