,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
0,Team,82.0,19830,3500,7783,0.45,,,,,,,1904,2564,0.743,1386,2624,4010,1982,1642,2230,8904,1978,808,456
1,Team/G,,241.8,42.7,94.9,0.45,,,,,,,23.2,31.3,0.743,16.9,32.0,48.9,24.2,20.0,27.2,108.6,1978,9.9,5.6
2,Lg Rank,,6,16,5,20.0,,,,,,,3,4,15.0,2,12,5,13,10,20,11,1978,9,6
3,Year/Year,,0.4%,-0.6%,-0.7%,0.0,,,,,,,11.1%,11.6%,-0.004,-1.6%,1.5%,0.4%,-1.3%,2.1%,9.9%,1.7%,1978,-12.6%,-0.4%
4,Opponent,82.0,19830,3634,7663,0.474,,,,,,,1841,2455,0.75,1350,2793,4143,2259,1762,2135,9109,1978,727,466
5,Opponent/G,,241.8,44.3,93.5,0.474,,,,,,,22.5,29.9,0.75,16.5,34.1,50.5,27.5,21.5,26.0,111.1,1978,8.9,5.7
6,Lg Rank,,6,14,12,17.0,,,,,,,18,18,9.0,20,20,21,22,5,6,17,1978,4,17
7,Year/Year,,0.4%,1.0%,0.4%,0.002,,,,,,,8.0%,9.0%,-0.007,-2.0%,0.8%,-0.1%,7.7%,-1.7%,4.5%,2.3%,1978,1.7%,0.0%
0,Team,82.0,19705,3575,7525,0.475,,,,,,,1759,2317,0.759,1225,2530,3755,2005,1536,2093,8909,1979,687,416
1,Team/G,,240.3,43.6,91.8,0.475,,,,,,,21.5,28.3,0.759,14.9,30.9,45.8,24.5,18.7,25.5,108.6,1979,8.4,5.1
2,Lg Rank,,18,13,9,17.0,,,,,,,13,13,11.0,12,9,9,15,6,13,13,1979,18,11
3,Year/Year,,-0.6%,2.1%,-3.3%,0.025,,,,,,,-7.6%,-9.6%,0.017,-11.6%,-3.6%,-6.4%,1.2%,-6.5%,-6.1%,0.1%,1979,-15.0%,-8.8%
4,Opponent,82.0,19705,3586,7499,0.478,,,,,,,1868,2416,0.773,1299,2605,3904,2178,1618,2091,9040,1979,677,437
5,Opponent/G,,240.3,43.7,91.5,0.478,,,,,,,22.8,29.5,0.773,15.8,31.8,47.6,26.6,19.7,25.5,110.2,1979,8.3,5.3
6,Lg Rank,,18,8,9,6.0,,,,,,,17,16,22.0,20,19,20,14,10,11,12,1979,6,13
7,Year/Year,,-0.6%,-1.3%,-2.1%,0.004,,,,,,,1.5%,-1.6%,0.023,-3.8%,-6.7%,-5.8%,-3.6%,-8.2%,-2.1%,-0.8%,1979,-6.9%,-6.2%
0,Team,82.0,19855,3639,7689,0.473,88.0,314.0,0.28,3551,7375,0.481,1753,2333,0.751,1398,2326,3724,2148,1517,1973,9119,1980,900,530
1,Team/G,,242.1,44.4,93.8,0.473,1.1,3.8,0.28,43.3,89.9,0.481,21.4,28.5,0.751,17.0,28.4,45.4,26.2,18.5,24.1,111.2,1980,11.0,6.5
2,Lg Rank,,8,7,4,16.0,4.0,4.0,9.0,8,8,15.0,10,9,15.0,1,19,8,11,9,12,6,1980,2,6
3,Year/Year,,0.8%,1.8%,2.2%,-0.002,,,,-0.7%,-2.0%,0.006,-0.3%,0.7%,-0.008,14.1%,-8.1%,-0.8%,7.1%,-1.2%,-5.7%,2.4%,1980,31.0%,27.4%
4,Opponent,82.0,19855,3693,7545,0.489,56.0,228.0,0.246,3637,7317,0.497,1734,2295,0.756,1394,2552,3946,2323,1758,2028,9176,1980,738,470
5,Opponent/G,,242.1,45.0,92.0,0.489,0.7,2.8,0.246,44.4,89.2,0.497,21.1,28.0,0.756,17.0,31.1,48.1,28.3,21.4,24.7,111.9,1980,9.0,5.7
6,Lg Rank,,8,15,15,12.0,7.0,15.0,3.0,15,15,13.0,15,15,5.0,22,15,22,20,2,13,17,1980,10,16
7,Year/Year,,0.8%,3.0%,0.6%,0.011,,,,1.4%,-2.4%,0.019,-7.2%,-5.0%,-0.018,7.3%,-2.0%,1.1%,6.7%,8.7%,-3.0%,1.5%,1980,9.0%,7.6%
0,Team,82.0,19730,3491,7245,0.482,30,169,0.178,3461,7076,0.489,1815,2540,0.715,1325,2267,3592,2091,1491,2006,8827,1981,833,484
1,Team/G,,240.6,42.6,88.4,0.482,0.4,2.1,0.178,42.2,86.3,0.489,22.1,31.0,0.715,16.2,27.6,43.8,25.5,18.2,24.5,107.6,1981,10.2,5.9
2,Lg Rank,,20,15,14,14.0,14,8,19.0,14,11,14.0,8,5,22.0,2,17,12,11,10,9,13,1981,6,8
3,Year/Year,,-0.6%,-4.1%,-5.8%,0.009,-65.9%,-46.2%,-0.103,-2.5%,-4.1%,0.008,3.5%,8.9%,-0.037,-5.2%,-2.5%,-3.5%,-2.7%,-1.7%,1.7%,-3.2%,1981,-7.4%,-8.7%
4,Opponent,82.0,19730,3457,7071,0.489,41,179,0.229,3416,6892,0.496,1757,2290,0.767,1246,2407,3653,2113,1655,2064,8712,1981,695,439
5,Opponent/G,,240.6,42.2,86.2,0.489,0.5,2.2,0.229,41.7,84.0,0.496,21.4,27.9,0.767,15.2,29.4,44.5,25.8,20.2,25.2,106.2,1981,8.5,5.4
6,Lg Rank,,20,9,6,12.0,12,18,10.0,9,5,12.0,10,8,22.0,17,14,18,16,6,10,8,1981,6,13
7,Year/Year,,-0.6%,-6.4%,-6.3%,-0.001,-26.8%,-21.5%,-0.017,-6.1%,-5.8%,-0.001,1.3%,-0.2%,0.012,-10.6%,-5.7%,-7.4%,-9.0%,-5.9%,1.8%,-5.1%,1981,-5.8%,-6.6%
0,Team,82.0,19830,3332,7164,0.465,103,316,0.326,3229,6848,0.472,1612,2176,0.741,1141,2372,3513,1897,1393,2041,8379,1982,753,494
1,Team/G,,241.8,40.6,87.4,0.465,1.3,3.9,0.326,39.4,83.5,0.472,19.7,26.5,0.741,13.9,28.9,42.8,23.1,17.0,24.9,102.2,1982,9.2,6.0
2,Lg Rank,,6,22,17,22.0,1,3,1.0,22,19,22.0,20,18,12.0,15,12,14,18,9,7,22,1982,5,6
3,Year/Year,,0.5%,-4.6%,-1.1%,-0.017,243.3%,87.0%,0.148,-6.7%,-3.2%,-0.018,-11.2%,-14.3%,0.026,-13.9%,4.6%,-2.2%,-9.3%,-6.6%,1.7%,-5.1%,1982,-9.6%,2.1%
4,Opponent,82.0,19830,3470,7062,0.491,34,183,0.186,3436,6879,0.499,1558,2133,0.73,1204,2598,3802,2053,1517,2016,8532,1982,678,397
5,Opponent/G,,241.8,42.3,86.1,0.491,0.4,2.2,0.186,41.9,83.9,0.499,19.0,26.0,0.73,14.7,31.7,46.4,25.0,18.5,24.6,104.0,1982,8.3,4.8
6,Lg Rank,,6,8,7,12.0,2,8,1.0,8,8,12.0,4,4,4.0,17,22,21,13,6,21,6,1982,9,8
7,Year/Year,,0.5%,0.4%,-0.1%,0.002,-17.1%,2.2%,-0.043,0.6%,-0.2%,0.004,-11.3%,-6.9%,-0.037,-3.4%,7.9%,4.1%,-2.8%,-8.3%,-2.3%,-2.1%,1982,-2.4%,-9.6%
0,Team,82.0,19830,3707,7723,0.48,50,236,0.212,3657,7487,0.488,1447,1910,0.758,1299,2294,3593,2150,1535,2086,8911,1983,755,411
1,Team/G,,241.8,45.2,94.2,0.48,0.6,2.9,0.212,44.6,91.3,0.488,17.6,23.3,0.758,15.8,28.0,43.8,26.2,18.7,25.4,108.7,1983,9.2,5.0
2,Lg Rank,,3,5,2,16.0,7,6,18.0,5,2,13.0,21,23,3.0,4,19,14,10,9,11,12,1983,10,14
3,Year/Year,,0.0%,11.3%,7.8%,0.015,-51.5%,-25.3%,-0.114,13.3%,9.3%,0.017,-10.2%,-12.2%,0.017,13.8%,-3.3%,2.3%,13.3%,10.2%,2.2%,6.3%,1983,0.3%,-16.8%
4,Opponent,82.0,19830,3768,7284,0.517,40,142,0.282,3728,7142,0.522,1815,2413,0.752,1206,2564,3770,2237,1643,1886,9391,1983,761,439
5,Opponent/G,,241.8,46.0,88.8,0.517,0.5,1.7,0.282,45.5,87.1,0.522,22.1,29.4,0.752,14.7,31.3,46.0,27.3,20.0,23.0,114.5,1983,9.3,5.4
6,Lg Rank,,3,19,12,22.0,9,3,22.0,19,13,22.0,20,20,19.0,11,18,18,17,6,21,21,1983,15,10
