,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
4,Opponent,82.0,19755,2723,6355,0.428,305,921,0.331,2418,5434,0.445,1632,2195,0.744,1058,2232,3290,1630,637,370,1214,1851,7383,1998
5,Opponent/G,,240.9,33.2,77.5,0.428,3.7,11.2,0.331,29.5,66.3,0.445,19.9,26.8,0.744,12.9,27.2,40.1,19.9,7.8,4.5,14.8,22.6,90.0,1998
6,Lg Rank,,24,3,5,3.0,4,2,10.0,5,13,2.0,16,15,20.0,14,5,10,5,6,6,21,12,6,1998
7,Year/Year,,-0.3%,1.3%,2.1%,-0.003,-25.8%,-18.8%,-0.031,6.2%,6.7%,-0.002,5.9%,4.1%,0.012,5.9%,-3.8%,-0.9%,7.8%,-1.4%,-5.6%,-8.3%,1.1%,0.8%,1998
0,Team,50.0,12025,1616,3565,0.453,289,804,0.359,1327,2761,0.481,928,1262,0.735,503,1512,2015,1019,327,304,744,1035,4449,1999
1,Team/G,,240.5,32.3,71.3,0.453,5.8,16.1,0.359,26.5,55.2,0.481,18.6,25.2,0.735,10.1,30.2,40.3,20.4,6.5,6.1,14.9,20.7,89.0,1999
2,Lg Rank,,27,25,28,6.0,6,5,10.0,29,29,4.0,15,15,12.0,27,6,22,18,28,3,8,7,23,1999
3,Year/Year,,-0.2%,-7.0%,-7.6%,0.003,-13.5%,-14.6%,0.005,-5.5%,-5.3%,-0.001,-1.1%,-0.6%,-0.004,-19.8%,2.5%,-4.1%,-4.9%,-19.4%,16.2%,-0.5%,-14.4%,-6.3%,1999
4,Opponent,50.0,12025,1565,3805,0.411,211,606,0.348,1354,3199,0.423,860,1167,0.737,619,1342,1961,853,387,188,677,1102,4201,1999
5,Opponent/G,,240.5,31.3,76.1,0.411,4.2,12.1,0.348,27.1,64.0,0.423,17.2,23.3,0.737,12.4,26.8,39.2,17.1,7.7,3.8,13.5,22.0,84.0,1999
6,Lg Rank,,27,2,7,3.0,7,4,20.0,4,12,3.0,9,6,23.0,12,2,4,1,5,1,26,15,2,1999
7,Year/Year,,-0.2%,-5.7%,-1.8%,-0.017,13.5%,7.9%,0.017,-8.2%,-3.5%,-0.022,-13.6%,-12.8%,-0.007,-4.0%,-1.4%,-2.2%,-14.2%,-0.4%,-16.7%,-8.5%,-2.4%,-6.7%,1999
0,Team,82.0,19830,2974,6462,0.46,446,1202,0.371,2528,5260,0.481,1345,1827,0.736,921,2619,3540,1931,582,524,1231,1947,7739,2000
1,Team/G,,241.8,36.3,78.8,0.46,5.4,14.7,0.371,30.8,64.1,0.481,16.4,22.3,0.736,11.2,31.9,43.2,23.5,7.1,6.4,15.0,23.7,94.4,2000
2,Lg Rank,,7,22,23,6.0,9,12,8.0,24,26,7.0,29,25,21.0,25,5,12,8,24,5,12,17,24,2000
3,Year/Year,,0.6%,12.2%,10.5%,0.007,-5.9%,-8.8%,0.012,16.2%,16.2%,-0.0,-11.6%,-11.7%,0.001,11.6%,5.6%,7.1%,15.5%,8.5%,5.1%,0.9%,14.7%,6.1%,2000
4,Opponent,82.0,19830,2782,6595,0.422,408,1130,0.361,2374,5465,0.434,1512,2022,0.748,974,2341,3315,1582,621,364,1150,1795,7484,2000
5,Opponent/G,,241.8,33.9,80.4,0.422,5.0,13.8,0.361,29.0,66.6,0.434,18.4,24.7,0.748,11.9,28.5,40.4,19.3,7.6,4.4,14.0,21.9,91.3,2000
6,Lg Rank,,7,3,8,2.0,19,17,21.0,2,8,2.0,12,13,15.0,10,4,4,1,11,7,26,26,4,2000
7,Year/Year,,0.6%,8.4%,5.7%,0.011,17.9%,13.7%,0.013,6.9%,4.2%,0.011,7.2%,5.6%,0.011,-4.1%,6.4%,3.1%,13.1%,-2.2%,18.1%,3.6%,-0.7%,8.6%,2000
0,Team,82.0,19880,2694,6258,0.43,478,1384,0.345,2216,4874,0.455,1423,1874,0.759,813,2435,3248,1630,633,304,1122,1726,7289,2001
1,Team/G,,242.4,32.9,76.3,0.43,5.8,16.9,0.345,27.0,59.4,0.455,17.4,22.9,0.759,9.9,29.7,39.6,19.9,7.7,3.7,13.7,21.0,88.9,2001
2,Lg Rank,,8,29,28,24.0,8,5,19.0,28,28,19.0,25,25,10.0,28,21,27,23,17,29,2,5,27,2001
3,Year/Year,,0.3%,-9.4%,-3.2%,-0.03,7.2%,15.1%,-0.026,-12.3%,-7.3%,-0.026,5.8%,2.6%,0.023,-11.7%,-7.0%,-8.2%,-15.6%,8.8%,-42.0%,-8.9%,-11.4%,-5.8%,2001
4,Opponent,82.0,19880,2701,6261,0.431,360,1087,0.331,2341,5174,0.452,1339,1818,0.737,914,2528,3442,1421,598,424,1275,1824,7101,2001
5,Opponent/G,,242.4,32.9,76.4,0.431,4.4,13.3,0.331,28.5,63.1,0.452,16.3,22.2,0.737,11.1,30.8,42.0,17.3,7.3,5.2,15.5,22.2,86.6,2001
6,Lg Rank,,8,3,3,6.0,7,12,3.0,3,3,8.0,5,5,8.0,6,17,12,1,7,13,8,11,2,2001
7,Year/Year,,0.3%,-2.9%,-5.1%,0.01,-11.8%,-3.8%,-0.03,-1.4%,-5.3%,0.018,-11.4%,-10.1%,-0.011,-6.2%,8.0%,3.8%,-10.2%,-3.7%,16.5%,10.9%,1.6%,-5.1%,2001
0,Team,82.0,19930,2801,6382,0.439,312,899,0.347,2489,5483,0.454,1236,1708,0.724,902,2544,3446,1664,547,448,1217,1846,7150,2002
1,Team/G,,243.0,34.2,77.8,0.439,3.8,11.0,0.347,30.4,66.9,0.454,15.1,20.8,0.724,11.0,31.0,42.0,20.3,6.7,5.5,14.8,22.5,87.2,2002
2,Lg Rank,,2,29,26,19.0,25,25,19.0,21,15,21.0,29,27,25.0,25,9,19,25,26,13,22,25,29,2002
3,Year/Year,,0.3%,4.0%,2.0%,0.008,-34.7%,-35.0%,0.002,12.3%,12.5%,-0.001,-13.1%,-8.9%,-0.036,10.9%,4.5%,6.1%,2.1%,-13.6%,47.4%,8.5%,7.0%,-1.9%,2002
4,Opponent,82.0,19930,2666,6279,0.425,379,1109,0.342,2287,5170,0.442,1565,2127,0.736,894,2484,3378,1461,620,353,1134,1709,7276,2002
5,Opponent/G,,243.0,32.5,76.6,0.425,4.6,13.5,0.342,27.9,63.0,0.442,19.1,25.9,0.736,10.9,30.3,41.2,17.8,7.6,4.3,13.8,20.8,88.7,2002
6,Lg Rank,,2,1,2,2.0,5,5,6.0,2,3,1.0,23,26,1.0,2,14,8,1,12,2,22,16,1,2002
7,Year/Year,,0.3%,-1.3%,0.3%,-0.007,5.3%,2.0%,0.011,-2.3%,-0.1%,-0.01,16.9%,17.0%,-0.001,-2.2%,-1.7%,-1.9%,2.8%,3.7%,-16.7%,-11.1%,-6.3%,2.5%,2002
0,Team,82.0,19830,2688,6517,0.412,348,1100,0.316,2340,5417,0.432,1292,1689,0.765,948,2464,3412,1501,592,324,1167,1856,7016,2003
1,Team/G,,241.8,32.8,79.5,0.412,4.2,13.4,0.316,28.5,66.1,0.432,15.8,20.6,0.765,11.6,30.0,41.6,18.3,7.2,4.0,14.2,22.6,85.6,2003
2,Lg Rank,,14,29,20,28.0,22,20,26.0,27,17,28.0,29,28,14.0,19,16,18,29,25,23,9,23,28,2003
