,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
7,Year/Year,,0.8%,4.4%,4.9%,-0.002,-7.5%,-6.5%,-0.004,6.7%,7.7%,-0.004,0.1%,1.6%,-0.011,4.4%,2.0%,2.7%,6.9%,-6.9%,-7.4%,-4.3%,1.9%,2.9%,1998
0,Team,50.0,12025,1838,4327,0.425,122,410,0.298,1716,3917,0.438,849,1143,0.743,754,1392,2146,1218,426,272,641,1185,4647,1999
1,Team/G,,240.5,36.8,86.5,0.425,2.4,8.2,0.298,34.3,78.3,0.438,17.0,22.9,0.743,15.1,27.8,42.9,24.4,8.5,5.4,12.8,23.7,92.9,1999
2,Lg Rank,,27,3,1,23.0,28,27,26.0,1,1,24.0,24,28,9.0,2,24,9,2,13,10,1,24,11,1999
3,Year/Year,,-1.0%,-4.5%,3.7%,-0.037,-34.0%,-23.0%,-0.05,-1.4%,7.6%,-0.04,-16.8%,-16.8%,0.0,16.3%,-6.0%,0.8%,-3.4%,9.3%,4.5%,-7.6%,3.3%,-8.1%,1999
4,Opponent,50.0,12025,1680,3823,0.439,213,654,0.326,1467,3169,0.463,1055,1470,0.718,591,1563,2154,1114,363,262,836,1017,4628,1999
5,Opponent/G,,240.5,33.6,76.5,0.439,4.3,13.1,0.326,29.3,63.4,0.463,21.1,29.4,0.718,11.8,31.3,43.1,22.3,7.3,5.2,16.7,20.3,92.6,1999
6,Lg Rank,,27,12,8,16.0,9,16,8.0,13,6,17.0,25,26,8.0,4,26,24,26,3,20,4,28,16,1999
7,Year/Year,,-1.0%,-10.4%,-8.6%,-0.009,-19.1%,-11.1%,-0.033,-9.0%,-8.1%,-0.005,5.0%,8.6%,-0.025,-13.2%,6.3%,0.2%,-4.3%,-2.2%,4.3%,11.6%,-10.5%,-7.8%,1999
0,Team,82.0,19905,3226,6910,0.467,248,716,0.346,2978,6194,0.481,1379,1769,0.78,1016,2471,3487,2205,622,444,1139,1913,8079,2000
1,Team/G,,242.7,39.3,84.3,0.467,3.0,8.7,0.346,36.3,75.5,0.481,16.8,21.6,0.78,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3,98.5,2000
2,Lg Rank,,1,2,7,2.0,28,28,17.0,1,1,6.0,26,28,7.0,15,16,19,1,17,11,4,14,13,2000
3,Year/Year,,0.9%,7.0%,-2.6%,0.042,24.0%,6.5%,0.049,5.8%,-3.6%,0.043,-1.0%,-5.6%,0.037,-17.8%,8.2%,-0.9%,10.4%,-11.0%,-0.5%,8.3%,-1.6%,6.0%,2000
4,Opponent,82.0,19905,2924,6576,0.445,380,1066,0.356,2544,5510,0.462,1644,2185,0.752,916,2440,3356,1737,591,344,1232,1685,7872,2000
