,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
6,Lg Rank,,17,9,15,3.0,3,3,8.0,,,15,10,11,4,1972,,,,,,,,,
7,Year/Year,,0.0%,-0.6%,-3.5%,0.012,-2.7%,-2.3%,-0.003,,,1.8%,1.0%,1.6%,-1.0%,1972,,,,,,,,,
0,Team,82.0,19730,3715,8163,0.455,1493,1871,0.798,,,4405,1985,1693,8923,1973,,,,,,,,,
1,Team/G,,240.6,45.3,99.5,0.455,18.2,22.8,0.798,,,53.7,24.2,20.6,108.8,1973,,,,,,,,,
2,Lg Rank,,10,5,4,10.0,13,14,1.0,,,3,12,3,7,1973,,,,,,,,,
3,Year/Year,,0.1%,6.8%,3.0%,0.016,-22.1%,-25.2%,0.031,,,-1.0%,7.1%,-8.0%,0.6%,1973,,,,,,,,,
4,Opponent,82.0,19730,3603,8163,0.441,1463,1891,0.774,,,4265,2034,1766,8669,1973,,,,,,,,,
5,Opponent/G,,240.6,43.9,99.5,0.441,17.8,23.1,0.774,,,52.0,24.8,21.5,105.7,1973,,,,,,,,,
6,Lg Rank,,10,7,15,6.0,5,5,17.0,,,14,9,15,8,1973,,,,,,,,,
7,Year/Year,,0.1%,1.2%,1.0%,0.001,-13.3%,-16.5%,0.028,,,-2.6%,3.4%,-7.6%,-1.6%,1973,,,,,,,,,
0,Team,82.0,19705,3721,8020,0.464,1569,2018,0.778,1379.0,3035.0,4414,1989,1893,9011,1974,668.0,450.0,1667.0,,,,,,
1,Team/G,,240.3,45.4,97.8,0.464,19.1,24.6,0.778,16.8,37.0,53.8,24.3,23.1,109.9,1974,8.1,5.5,20.3,,,,,,
2,Lg Rank,,16,3,2,7.0,13,13,3.0,1.0,2.0,2,11,7,2,1974,13.0,4.0,7.0,,,,,,
3,Year/Year,,-0.1%,0.2%,-1.8%,0.009,5.1%,7.9%,-0.02,,,0.2%,0.2%,11.8%,1.0%,1974,,,,,,,,,
4,Opponent,82.0,19705,3619,7995,0.453,1563,2054,0.761,1227.0,2702.0,3929,2027,1826,8801,1974,714.0,465.0,1477.0,,,,,,
5,Opponent/G,,240.3,44.1,97.5,0.453,19.1,25.0,0.761,15.0,33.0,47.9,24.7,22.3,107.3,1974,8.7,5.7,18.0,,,,,,
6,Lg Rank,,16,13,14,7.0,9,10,5.0,13.0,7.0,10,9,15,9,1974,7.0,17.0,17.0,,,,,,
7,Year/Year,,-0.1%,0.4%,-2.1%,0.011,6.8%,8.6%,-0.013,,,-7.9%,-0.3%,3.4%,1.5%,1974,,,,,,,,,
0,Team,82.0,19780,3714,7981,0.465,1470,1915,0.768,1416,2854,4270,2076,2109,8898,1975,972,365,1716,,,,,,
1,Team/G,,241.2,45.3,97.3,0.465,17.9,23.4,0.768,17.3,34.8,52.1,25.3,25.7,108.5,1975,11.9,4.5,20.9,,,,,,
2,Lg Rank,,11,1,1,6.0,16,16,9.0,2,2,1,5,17,1,1975,1,9,13,,,,,,
3,Year/Year,,0.4%,-0.2%,-0.5%,0.001,-6.3%,-5.1%,-0.01,2.7%,-6.0%,-3.3%,4.4%,11.4%,-1.3%,1975,45.5%,-18.9%,2.9%,,,,,,
4,Opponent,82.0,19780,3481,7628,0.456,1666,2209,0.754,1185,2658,3843,2084,1855,8628,1975,794,387,1644,,,,,,
5,Opponent/G,,241.2,42.5,93.0,0.456,20.3,26.9,0.754,14.5,32.4,46.9,25.4,22.6,105.2,1975,9.7,4.7,20.0,,,,,,
6,Lg Rank,,11,13,15,9.0,15,16,5.0,12,9,8,14,17,14,1975,15,14,7,,,,,,
7,Year/Year,,0.4%,-3.8%,-4.6%,0.004,6.6%,7.5%,-0.007,-3.4%,-1.6%,-2.2%,2.8%,1.6%,-2.0%,1975,11.2%,-16.8%,11.3%,,,,,,
0,Team,82.0,19830,3691,7982,0.462,1620,2158,0.751,1349,2912,4261,2041,2022,9002,1976,928,416,1613,,,,,,
1,Team/G,,241.8,45.0,97.3,0.462,19.8,26.3,0.751,16.5,35.5,52.0,24.9,24.7,109.8,1976,11.3,5.1,19.7,,,,,,
2,Lg Rank,,5,1,1,9.0,12,12,11.0,4,2,2,5,9,1,1976,1,4,8,,,,,,
3,Year/Year,,0.3%,-0.6%,0.0%,-0.003,10.2%,12.7%,-0.017,-4.7%,2.0%,-0.2%,-1.7%,-4.1%,1.2%,1976,-4.5%,14.0%,-6.0%,,,,,,
4,Opponent,82.0,19830,3437,7742,0.444,1583,2150,0.736,1288,2730,4018,2006,1946,8457,1976,743,395,1761,,,,,,
5,Opponent/G,,241.8,41.9,94.4,0.444,19.3,26.2,0.736,15.7,33.3,49.0,24.5,23.7,103.1,1976,9.1,4.8,21.5,,,,,,
6,Lg Rank,,5,8,16,2.0,5,7,2.0,16,12,15,13,14,4,1976,11,14,3,,,,,,
7,Year/Year,,0.3%,-1.3%,1.5%,-0.012,-5.0%,-2.7%,-0.018,8.7%,2.7%,4.6%,-3.7%,4.9%,-2.0%,1976,-6.4%,2.1%,7.1%,,,,,,
0,Team,82.0,19780,3724,7832,0.475,1649,2172,0.759,1300,2639,3939,2120,2058,9097,1977,904,432,1624,,,,,,
1,Team/G,,241.2,45.4,95.5,0.475,20.1,26.5,0.759,15.9,32.2,48.0,25.9,25.1,110.9,1977,11.0,5.3,19.8,,,,,,
2,Lg Rank,,6,2,3,9.0,13,14,8.0,4,9,9,2,10,4,1977,4,12,7,,,,,,
3,Year/Year,,-0.3%,0.9%,-1.9%,0.013,1.8%,0.6%,0.009,-3.6%,-9.4%,-7.6%,3.9%,1.8%,1.1%,1977,-2.6%,3.8%,0.7%,,,,,,
4,Opponent,82.0,19780,3567,7584,0.47,1699,2282,0.745,1256,2640,3896,2114,1939,8833,1977,757,420,1778,,,,,,
5,Opponent/G,,241.2,43.5,92.5,0.47,20.7,27.8,0.745,15.3,32.2,47.5,25.8,23.6,107.7,1977,9.2,5.1,21.7,,,,,,
6,Lg Rank,,6,15,11,15.0,9,11,5.0,12,12,13,19,19,16,1977,10,12,7,,,,,,
7,Year/Year,,-0.3%,3.8%,-2.0%,0.026,7.3%,6.1%,0.008,-2.5%,-3.3%,-3.0%,5.4%,-0.4%,4.4%,1977,1.9%,6.3%,1.0%,,,,,,
0,Team,82.0,19780,3574,7654,0.467,1550,2081,0.745,1183,2629,3812,2097,2113,8698,1978,873,405,1518,,,,,,
1,Team/G,,241.2,43.6,93.3,0.467,18.9,25.4,0.745,14.4,32.1,46.5,25.6,25.8,106.1,1978,10.6,4.9,18.5,,,,,,
2,Lg Rank,,15,9,13,11.0,21,21,14.0,15,11,15,9,15,15,1978,3,13,3,,,,,,
3,Year/Year,,0.0%,-4.0%,-2.3%,-0.009,-6.0%,-4.2%,-0.014,-9.0%,-0.4%,-3.2%,-1.1%,2.7%,-4.4%,1978,-3.4%,-6.3%,-6.5%,,,,,,
4,Opponent,82.0,19780,3425,7368,0.465,1820,2408,0.756,1185,2794,3979,2037,1975,8670,1978,728,408,1738,,,,,,
5,Opponent/G,,241.2,41.8,89.9,0.465,22.2,29.4,0.756,14.5,34.1,48.5,24.8,24.1,105.7,1978,8.9,5.0,21.2,,,,,,
6,Lg Rank,,15,4,4,8.0,16,16,14.0,7,21,18,9,18,6,1978,5,11,6,,,,,,
7,Year/Year,,0.0%,-4.0%,-2.8%,-0.005,7.1%,5.5%,0.011,-5.7%,5.8%,2.1%,-3.6%,1.9%,-1.8%,1978,-3.8%,-2.9%,-2.2%,,,,,,
0,Team,82.0,19780,3627,7453,0.487,1367,1872,0.73,1169,2513,3682,2064,2023,8621,1979,774,420,1500,,,,,,
1,Team/G,,241.2,44.2,90.9,0.487,16.7,22.8,0.73,14.3,30.6,44.9,25.2,24.7,105.1,1979,9.4,5.1,18.3,,,,,,
2,Lg Rank,,6,11,15,9.0,22,22,17.0,16,10,14,14,9,21,1979,11,10,3,,,,,,
3,Year/Year,,0.0%,1.5%,-2.6%,0.02,-11.8%,-10.0%,-0.015,-1.2%,-4.4%,-3.4%,-1.6%,-4.3%,-0.9%,1979,-11.3%,3.7%,-1.2%,,,,,,
4,Opponent,82.0,19780,3493,7255,0.481,1604,2155,0.744,1147,2533,3680,2094,1854,8590,1979,637,362,1580,,,,,,
5,Opponent/G,,241.2,42.6,88.5,0.481,19.6,26.3,0.744,14.0,30.9,44.9,25.5,22.6,104.8,1979,7.8,4.4,19.3,,,,,,
6,Lg Rank,,6,5,5,9.0,6,7,6.0,5,15,11,8,22,2,1979,1,4,13,,,,,,
7,Year/Year,,0.0%,2.0%,-1.5%,0.017,-11.9%,-10.5%,-0.011,-3.2%,-9.3%,-7.5%,2.8%,-6.1%,-0.9%,1979,-12.5%,-11.3%,-9.1%,,,,,,
0,Team,82.0,19880,3527,7318,0.482,1412,1914,0.738,1155,2437,3592,2028,2082,8493,1980,779,339,1492,27.0,121.0,0.223,3500,7197,0.486
1,Team/G,,242.4,43.0,89.2,0.482,17.2,23.3,0.738,14.1,29.7,43.8,24.7,25.4,103.6,1980,9.5,4.1,18.2,0.3,1.5,0.223,42.7,87.8,0.486
2,Lg Rank,,4,14,16,10.0,22,22,20.0,17,11,18,17,16,20,1980,11,19,5,17.0,19.0,15.0,11,13,11.0
3,Year/Year,,0.5%,-2.8%,-1.8%,-0.005,3.3%,2.2%,0.007,-1.2%,-3.0%,-2.4%,-1.7%,2.9%,-1.5%,1980,0.6%,-19.3%,-0.5%,,,,-3.5%,-3.4%,-0.0
4,Opponent,82.0,19880,3438,6975,0.493,1905,2544,0.749,1056,2564,3620,2091,1785,8853,1980,720,361,1486,72.0,219.0,0.329,3366,6756,0.498
5,Opponent/G,,242.4,41.9,85.1,0.493,23.2,31.0,0.749,12.9,31.3,44.1,25.5,21.8,108.0,1980,8.8,4.4,18.1,0.9,2.7,0.329,41.0,82.4,0.498
6,Lg Rank,,4,5,2,14.0,18,19,1.0,1,16,9,10,21,9,1980,7,2,16,16.0,13.0,21.0,6,2,14.0
7,Year/Year,,0.5%,-1.6%,-3.9%,0.011,18.8%,18.1%,0.005,-7.9%,1.2%,-1.6%,-0.1%,-3.7%,3.1%,1980,13.0%,-0.3%,-5.9%,,,,-3.6%,-6.9%,0.017
0,Team,82.0,19730,3560,7284,0.489,1826,2513,0.727,1403,2366,3769,2026,2158,9006,1981,611,301,1547,60,210,0.286,3500,7074,0.495
1,Team/G,,240.6,43.4,88.8,0.489,22.3,30.6,0.727,17.1,28.9,46.0,24.7,26.3,109.8,1981,7.5,3.7,18.9,0.7,2.6,0.286,42.7,86.3,0.495
2,Lg Rank,,20,11,10,10.0,7,6,18.0,1,14,3,15,20,9,1981,22,21,14,5,6,4.0,11,12,9.0
3,Year/Year,,-0.8%,0.9%,-0.5%,0.007,29.3%,31.3%,-0.011,21.5%,-2.9%,4.9%,-0.1%,3.7%,6.0%,1981,-21.6%,-11.2%,3.7%,122.2%,73.6%,0.063,0.0%,-1.7%,0.008
4,Opponent,82.0,19730,3631,7204,0.504,1804,2411,0.748,1137,2210,3347,2223,2093,9103,1981,714,386,1385,37,160,0.231,3594,7044,0.51
5,Opponent/G,,240.6,44.3,87.9,0.504,22.0,29.4,0.748,13.9,27.0,40.8,27.1,25.5,111.0,1981,8.7,4.7,16.9,0.5,2.0,0.231,43.8,85.9,0.51
6,Lg Rank,,20,22,11,18.0,14,15,10.0,4,5,2,21,8,21,1981,10,6,21,10,11,11.0,22,14,19.0
7,Year/Year,,-0.8%,5.6%,3.3%,0.011,-5.3%,-5.2%,-0.001,7.7%,-13.8%,-7.5%,6.3%,17.3%,2.8%,1981,-0.8%,6.9%,-6.8%,-48.6%,-26.9%,-0.098,6.8%,4.3%,0.012
0,Team,82.0,19780,3646,7349,0.496,1709,2382,0.717,1282,2452,3734,1820,2225,9092,1982,685,391,1424,91,325,0.28,3555,7024,0.506
1,Team/G,,241.2,44.5,89.6,0.496,20.8,29.0,0.717,15.6,29.9,45.5,22.2,27.1,110.9,1982,8.4,4.8,17.4,1.1,4.0,0.28,43.4,85.7,0.506
2,Lg Rank,,15,6,7,9.0,14,8,22.0,3,8,4,22,18,8,1982,13,16,10,3,2,8.0,9,14,8.0
3,Year/Year,,0.3%,2.4%,0.9%,0.007,-6.4%,-5.2%,-0.009,-8.6%,3.6%,-0.9%,-10.2%,3.1%,1.0%,1982,12.1%,29.9%,-8.0%,51.7%,54.8%,-0.006,1.6%,-0.7%,0.011
4,Opponent,82.0,19780,3555,7250,0.49,1857,2466,0.753,1112,2407,3519,2079,2156,9007,1982,661,393,1368,40,172,0.233,3515,7078,0.497
5,Opponent/G,,241.2,43.4,88.4,0.49,22.6,30.1,0.753,13.6,29.4,42.9,25.4,26.3,109.8,1982,8.1,4.8,16.7,0.5,2.1,0.233,42.9,86.3,0.497
6,Lg Rank,,15,13,14,11.0,17,13,15.0,4,14,9,14,11,16,1982,7,7,18,6,6,4.0,14,14,11.0
7,Year/Year,,0.3%,-2.1%,0.6%,-0.014,2.9%,2.3%,0.005,-2.2%,8.9%,5.1%,-6.5%,3.0%,-1.1%,1982,-7.4%,1.8%,-1.2%,8.1%,7.5%,0.001,-2.2%,0.5%,-0.014
0,Team,82.0,19780,3627,7508,0.483,1620,2199,0.737,1281,2284,3565,1964,2138,8908,1983,856,430,1606,34,150,0.227,3593,7358,0.488
