,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
3,Year/Year,,-0.4%,0.3%,-1.2%,0.007,0.0%,2.1%,-0.004,0.3%,-1.3%,0.008,-5.4%,-2.3%,-0.023,6.0%,4.6%,5.1%,2.2%,13.5%,-5.6%,-0.8%,1983,-0.8%,23.1%
4,Opponent,82.0,19705,3327,6962,0.478,45,208,0.216,3282,6754,0.486,1746,2370,0.737,1102,2176,3278,1978,1871,2129,8445,1983,860,495
5,Opponent/G,,240.3,40.6,84.9,0.478,0.5,2.5,0.216,40.0,82.4,0.486,21.3,28.9,0.737,13.4,26.5,40.0,24.1,22.8,26.0,103.0,1983,10.5,6.0
6,Lg Rank,,23,4,4,9.0,13,19,4.0,4,2,10.0,14,15,10.0,4,2,1,4,1,12,6,1983,23,15
7,Year/Year,,-0.4%,-0.5%,0.4%,-0.004,-22.4%,11.2%,-0.094,-0.1%,0.1%,-0.001,-10.3%,-8.7%,-0.013,-3.5%,-7.2%,-6.0%,2.4%,3.4%,-1.6%,-2.8%,1983,3.4%,-8.2%
0,Team,82.0,19805,3614,7258,0.498,49,232,0.211,3565,7026,0.507,1742,2488,0.7,1221,2313,3534,2148,1608,2243,9019,1984,814,499
1,Team/G,,241.5,44.1,88.5,0.498,0.6,2.8,0.211,43.5,85.7,0.507,21.2,30.3,0.7,14.9,28.2,43.1,26.2,19.6,27.4,110.0,1984,9.9,6.1
2,Lg Rank,,13,11,7,7.0,11,6,18.0,10,11,6.0,17,11,23.0,6,15,12,13,22,20,13,1984,3,5
3,Year/Year,,0.5%,3.0%,1.7%,0.006,63.3%,55.7%,0.01,2.4%,0.5%,0.01,7.4%,8.1%,-0.005,-3.6%,-4.7%,-4.3%,0.2%,-14.1%,3.6%,4.0%,1984,-10.6%,-15.7%
4,Opponent,82.0,19805,3422,6974,0.491,48,181,0.265,3374,6793,0.497,2037,2675,0.761,1097,2307,3404,1913,1674,2161,8929,1984,781,416
5,Opponent/G,,241.5,41.7,85.0,0.491,0.6,2.2,0.265,41.1,82.8,0.497,24.8,32.6,0.761,13.4,28.1,41.5,23.3,20.4,26.4,108.9,1984,9.5,5.1
6,Lg Rank,,13,5,5,12.0,11,6,15.0,5,5,11.0,21,21,14.0,6,8,7,1,3,11,10,1984,19,8
