,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19705,3369,7342,0.459,1628,2104,0.774,1112.0,2554.0,3666,1744,1916,8366,1974,796.0,384.0,1791.0,,,,,,
1,Team/G,,240.3,41.1,89.5,0.459,19.9,25.7,0.774,13.6,31.1,44.7,21.3,23.4,102.0,1974,9.7,4.7,21.8,,,,,,
2,Lg Rank,,16,15,17,10.0,10,9,6.0,14.0,16.0,16,17,8,13,1974,2.0,8.0,12.0,,,,,,
3,Year/Year,,-0.4%,-7.0%,-3.2%,-0.019,3.0%,3.3%,-0.002,,,1.0%,-17.7%,-6.7%,-5.2%,1974,,,,,,,,,
4,Opponent,82.0,19705,3580,7514,0.476,1512,1950,0.775,1210.0,2650.0,3860,1916,1907,8672,1974,723.0,373.0,1765.0,,,,,,
5,Opponent/G,,240.3,43.7,91.6,0.476,18.4,23.8,0.775,14.8,32.3,47.1,23.4,23.3,105.8,1974,8.8,4.5,21.5,,,,,,
6,Lg Rank,,16,11,6,15.0,7,5,11.0,11.0,5.0,6,5,11,8,1974,9.0,7.0,6.0,,,,,,
7,Year/Year,,-0.4%,-3.2%,-1.6%,-0.008,-9.2%,-10.3%,0.01,,,-2.5%,1.6%,5.0%,-4.3%,1974,,,,,,,,,
0,Team,82.0,19730,3257,7258,0.449,1797,2190,0.821,991,2745,3736,1853,1968,8311,1975,724,347,1542,,,,,,
1,Team/G,,240.6,39.7,88.5,0.449,21.9,26.7,0.821,12.1,33.5,45.6,22.6,24.0,101.4,1975,8.8,4.2,18.8,,,,,,
2,Lg Rank,,14,17,14,13.0,1,6,1.0,17,8,13,14,9,11,1975,9,12,5,,,,,,
3,Year/Year,,0.1%,-3.3%,-1.1%,-0.01,10.4%,4.1%,0.047,-10.9%,7.5%,1.9%,6.3%,2.7%,-0.7%,1975,-9.0%,-9.6%,-13.9%,,,,,,
4,Opponent,82.0,19730,3410,7400,0.461,1515,1972,0.768,1060,2812,3872,1840,2029,8335,1975,606,312,1605,,,,,,
5,Opponent/G,,240.6,41.6,90.2,0.461,18.5,24.0,0.768,12.9,34.3,47.2,22.4,24.7,101.6,1975,7.4,3.8,19.6,,,,,,
6,Lg Rank,,14,9,7,13.0,7,7,11.0,3,14,9,6,8,7,1975,3,7,11,,,,,,
7,Year/Year,,0.1%,-4.7%,-1.5%,-0.016,0.2%,1.1%,-0.007,-12.4%,6.1%,0.3%,-4.0%,6.4%,-3.9%,1975,-16.2%,-16.4%,-9.1%,,,,,,
0,Team,82.0,19755,3341,7379,0.453,1792,2335,0.767,1133,2668,3801,1864,2056,8474,1976,751,324,1607,,,,,,
1,Team/G,,240.9,40.7,90.0,0.453,21.9,28.5,0.767,13.8,32.5,46.4,22.7,25.1,103.3,1976,9.2,4.0,19.6,,,,,,
2,Lg Rank,,13,16,12,13.0,5,7,6.0,10,12,9,9,13,12,1976,8,14,5,,,,,,
3,Year/Year,,0.1%,2.6%,1.7%,0.004,-0.3%,6.6%,-0.053,14.3%,-2.8%,1.7%,0.6%,4.5%,2.0%,1976,3.7%,-6.6%,4.2%,,,,,,
4,Opponent,82.0,19755,3477,7454,0.466,1753,2310,0.759,1153,2778,3931,1825,2124,8707,1976,680,321,1639,,,,,,
5,Opponent/G,,240.9,42.4,90.9,0.466,21.4,28.2,0.759,14.1,33.9,47.9,22.3,25.9,106.2,1976,8.3,3.9,20.0,,,,,,
6,Lg Rank,,13,11,7,12.0,14,14,14.0,9,13,12,7,7,13,1976,5,3,9,,,,,,
7,Year/Year,,0.1%,2.0%,0.7%,0.006,15.7%,17.1%,-0.009,8.8%,-1.2%,1.5%,-0.8%,4.7%,4.5%,1976,12.2%,2.9%,2.1%,,,,,,
0,Team,82.0,19830,3561,7733,0.46,1706,2140,0.797,1222,2593,3815,1982,2173,8828,1977,849,386,1576,,,,,,
1,Team/G,,241.8,43.4,94.3,0.46,20.8,26.1,0.797,14.9,31.6,46.5,24.2,26.5,107.7,1977,10.4,4.7,19.2,,,,,,
2,Lg Rank,,1,9,6,13.0,9,16,1.0,13,13,13,11,17,9,1977,8,15,4,,,,,,
3,Year/Year,,0.4%,6.6%,4.8%,0.008,-4.8%,-8.4%,0.03,7.9%,-2.8%,0.4%,6.3%,5.7%,4.2%,1977,13.0%,19.1%,-1.9%,,,,,,
4,Opponent,82.0,19830,3422,7244,0.472,1912,2513,0.761,1097,2739,3836,1744,2030,8756,1977,722,392,1755,,,,,,
5,Opponent/G,,241.8,41.7,88.3,0.472,23.3,30.6,0.761,13.4,33.4,46.8,21.3,24.8,106.8,1977,8.8,4.8,21.4,,,,,,
