,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,82.0,19880,3493,6984,0.5,2005,2653,0.756,1171,2552,3723,1853,2136,9039,1982,707,450,1609,48,158,0.304,3445,6826,0.505
5,Opponent/G,,242.4,42.6,85.2,0.5,24.5,32.4,0.756,14.3,31.1,45.4,22.6,26.0,110.2,1982,8.6,5.5,19.6,0.6,1.9,0.304,42.0,83.2,0.505
6,Lg Rank,,1,10,4,16.0,23,23,19.0,14,21,20,1,14,17,1982,14,14,4,10,4,21.0,9,4,15.0
7,Year/Year,,0.3%,2.0%,-1.9%,0.019,6.1%,6.1%,0.0,2.9%,1.7%,2.1%,-0.2%,6.0%,3.1%,1982,-1.4%,17.5%,5.9%,54.8%,3.3%,0.101,1.5%,-2.0%,0.017
0,Team,82.0,19780,3719,7485,0.497,1839,2530,0.727,1256,2407,3663,2155,2432,9328,1983,765,409,1691,51,215,0.237,3668,7270,0.505
1,Team/G,,241.2,45.4,91.3,0.497,22.4,30.9,0.727,15.3,29.4,44.7,26.3,29.7,113.8,1983,9.3,5.0,20.6,0.6,2.6,0.237,44.7,88.7,0.505
2,Lg Rank,,11,3,9,4.0,9,5,17.0,10,16,11,9,23,4,1983,8,15,21,6,7,11.0,4,9,3.0
3,Year/Year,,-0.5%,3.2%,2.8%,0.002,18.6%,17.2%,0.008,15.7%,5.8%,9.0%,4.8%,3.1%,6.2%,1983,3.0%,1.7%,12.2%,96.2%,65.4%,0.037,2.5%,1.6%,0.004
4,Opponent,82.0,19780,3531,7250,0.487,2107,2885,0.73,1250,2403,3653,1997,2245,9209,1983,809,439,1716,40,188,0.213,3491,7062,0.494
5,Opponent/G,,241.2,43.1,88.4,0.487,25.7,35.2,0.73,15.2,29.3,44.5,24.4,27.4,112.3,1983,9.9,5.4,20.9,0.5,2.3,0.213,42.6,86.1,0.494
6,Lg Rank,,11,11,9,13.0,23,23,8.0,15,13,14,6,5,16,1983,20,10,3,9,12,3.0,11,8,13.0
7,Year/Year,,-0.5%,1.1%,3.8%,-0.013,5.1%,8.7%,-0.025,6.7%,-5.8%,-1.9%,7.8%,5.1%,1.9%,1983,14.4%,-2.4%,6.7%,-16.7%,19.0%,-0.091,1.3%,3.5%,-0.01
0,Team,82.0,19755,3516,7230,0.486,1939,2495,0.777,1144,2273,3417,2229,2200,9023,1984,715,383,1504,52,189,0.275,3464,7041,0.492
1,Team/G,,240.9,42.9,88.2,0.486,23.6,30.4,0.777,14.0,27.7,41.7,27.2,26.8,110.0,1984,8.7,4.7,18.3,0.6,2.3,0.275,42.2,85.9,0.492
2,Lg Rank,,21,14,13,16.0,8,10,5.0,11,18,16,7,18,12,1984,8,16,13,10,12,5.0,13,10,17.0
3,Year/Year,,-0.1%,-5.5%,-3.4%,-0.011,5.4%,-1.4%,0.05,-8.9%,-5.6%,-6.7%,3.4%,-9.5%,-3.3%,1984,-6.5%,-6.4%,-11.1%,2.0%,-12.1%,0.038,-5.6%,-3.1%,-0.013
4,Opponent,82.0,19755,3601,7169,0.502,1909,2510,0.761,1126,2387,3513,2108,2191,9144,1984,660,493,1584,33,164,0.201,3568,7005,0.509
5,Opponent/G,,240.9,43.9,87.4,0.502,23.3,30.6,0.761,13.7,29.1,42.8,25.7,26.7,111.5,1984,8.0,6.0,19.3,0.4,2.0,0.201,43.5,85.4,0.509
6,Lg Rank,,21,15,11,18.0,17,17,13.0,10,12,12,10,7,15,1984,8,19,6,2,3,2.0,15,11,18.0
