,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
3,Year/Year,,-0.8%,0.9%,-3.8%,0.022,8.2%,7.5%,0.005,-9.4%,-15.9%,-14.0%,1.3%,-2.8%,2.4%,1979,10.4%,-4.1%,3.7%,,,,,,
4,Opponent,82.0,19680,3855,7593,0.508,1578,2079,0.759,1122,2453,3575,2170,2025,9288,1979,717,438,1603,,,,,,
5,Opponent/G,,240.0,47.0,92.6,0.508,19.2,25.4,0.759,13.7,29.9,43.6,26.5,24.7,113.3,1979,8.7,5.3,19.5,,,,,,
6,Lg Rank,,21,21,12,22.0,5,4,18.0,3,9,4,12,16,19,1979,8,14,11,,,,,,
7,Year/Year,,-0.8%,8.9%,-2.2%,0.052,-9.9%,-8.7%,-0.01,-1.8%,-4.7%,-3.8%,9.5%,8.2%,5.2%,1979,-6.0%,17.1%,13.5%,,,,,,
0,Team,82.0,19880,3617,7387,0.49,1907,2449,0.779,1227,2457,3684,2198,1974,9303,1980,809,308,1539,162.0,422.0,0.384,3455,6965,0.496
1,Team/G,,242.4,44.1,90.1,0.49,23.3,29.9,0.779,15.0,30.0,44.9,26.8,24.1,113.5,1980,9.9,3.8,18.8,2.0,5.1,0.384,42.1,84.9,0.496
2,Lg Rank,,4,8,14,7.0,4,6,5.0,13,10,11,8,13,5,1980,6,21,11,2.0,2.0,1.0,15,17,7.0
3,Year/Year,,1.0%,2.6%,0.5%,0.01,4.8%,5.5%,-0.005,9.7%,2.5%,4.8%,10.2%,-0.2%,4.8%,1980,13.9%,8.8%,-10.2%,,,,-2.0%,-5.2%,0.016
4,Opponent,82.0,19880,3439,7313,0.47,1712,2222,0.77,1168,2294,3462,1867,2059,8664,1980,686,419,1635,74.0,259.0,0.286,3365,7054,0.477
5,Opponent/G,,242.4,41.9,89.2,0.47,20.9,27.1,0.77,14.2,28.0,42.2,22.8,25.1,105.7,1980,8.4,5.1,19.9,0.9,3.2,0.286,41.0,86.0,0.477
6,Lg Rank,,4,6,7,8.0,11,10,17.0,6,4,2,3,6,6,1980,2,11,9,17.0,17.0,15.0,5,7,8.0
7,Year/Year,,1.0%,-10.8%,-3.7%,-0.037,8.5%,6.9%,0.011,4.1%,-6.5%,-3.2%,-14.0%,1.7%,-6.7%,1980,-4.3%,-4.3%,2.0%,,,,-12.7%,-7.1%,-0.031
0,Team,82.0,19780,3581,7099,0.504,1781,2369,0.752,1155,2424,3579,2202,1990,9008,1981,683,594,1577,65,241,0.27,3516,6858,0.513
1,Team/G,,241.2,43.7,86.6,0.504,21.7,28.9,0.752,14.1,29.6,43.6,26.9,24.3,109.9,1981,8.3,7.2,19.2,0.8,2.9,0.27,42.9,83.6,0.513
2,Lg Rank,,11,7,17,3.0,13,13,11.0,16,10,13,7,6,8,1981,17,2,16,3,3,7.0,10,19,3.0
3,Year/Year,,-0.5%,-1.0%,-3.9%,0.015,-6.6%,-3.3%,-0.027,-5.9%,-1.3%,-2.9%,0.2%,0.8%,-3.2%,1981,-15.6%,92.9%,2.5%,-59.9%,-42.9%,-0.114,1.8%,-1.5%,0.017
4,Opponent,82.0,19780,3372,7296,0.462,1752,2277,0.769,1192,2174,3366,1890,2059,8526,1981,736,351,1473,30,139,0.216,3342,7157,0.467
