,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
2,Lg Rank,,23,12,8,19.0,15,16,9.0,14,14,20.0,16,22,13.0,23,20,22,17,16,23,8,22,13,2016
3,Year/Year,,0.0%,1.4%,3.6%,-0.01,19.8%,23.2%,-0.01,-2.8%,-2.4%,-0.002,5.2%,1.8%,0.025,-17.0%,3.5%,-1.9%,0.7%,14.5%,-32.9%,1.4%,12.0%,3.4%,2016
4,Opponent,82.0,19780,3218,6877,0.468,754,2043,0.369,2464,4834,0.51,1544,1972,0.783,730,2912,3642,1899,602,423,1127,1630,8734,2016
5,Opponent/G,,241.2,39.2,83.9,0.468,9.2,24.9,0.369,30.0,59.0,0.51,18.8,24.0,0.783,8.9,35.5,44.4,23.2,7.3,5.2,13.7,19.9,106.5,2016
6,Lg Rank,,23,24,10,27.0,23,22,25.0,20,9,27.0,25,22,29.0,3,27,19,21,9,15,19,17,26,2016
7,Year/Year,,0.0%,3.5%,0.9%,0.012,40.4%,27.3%,0.034,-4.2%,-7.2%,0.016,16.2%,12.6%,0.024,-16.1%,14.8%,6.9%,11.7%,8.5%,-10.9%,12.4%,6.3%,8.1%,2016
0,Team,82.0,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,703,2879,3582,1869,638,453,1054,1490,8556,2017
1,Team/G,,242.7,39.1,87.0,0.45,9.4,26.8,0.35,29.8,60.2,0.495,16.7,22.3,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,2017
2,Lg Rank,,2,17,12,20.0,14,13,19.0,15,12,21.0,25,21,22.0,29,1,13,12,16,5,5,5,18,2017
3,Year/Year,,0.6%,1.8%,1.3%,0.002,9.4%,12.6%,-0.01,-0.4%,-3.0%,0.013,-3.3%,0.1%,-0.027,-10.1%,6.2%,2.5%,2.8%,0.8%,32.5%,-4.4%,-13.0%,1.6%,2017
4,Opponent,82.0,19905,3286,7299,0.45,863,2445,0.353,2423,4854,0.499,1293,1697,0.762,872,3091,3963,1921,603,348,1144,1581,8728,2017
5,Opponent/G,,242.7,40.1,89.0,0.45,10.5,29.8,0.353,29.5,59.2,0.499,15.8,20.7,0.762,10.6,37.7,48.3,23.4,7.4,4.2,14.0,19.3,106.4,2017
6,Lg Rank,,2,23,28,8.0,27,27,10.0,13,17,11.0,5,5,4.0,21,30,30,20,11,7,16,23,17,2017
