Player,Salary,Year
Ivica Zubac,"$7,518,518 ",2022
Nicolas Batum,"$3,170,029 ",2022
Rodney Hood,"$2,239,544 ",2022
Semi Ojeleye,"$1,789,256 ",2022
Terance Mann,"$1,782,621 ",2022
Isaiah Hartenstein,"$1,729,217 ",2022
Jason Preston,"$1,062,303 ",2022
Brandon Boston,"$925,258 ",2022
Wenyen Gabriel,"$198,760 ",2022
Xavier Moon,"$159,528 ",2022
Amir Coffey,"$153,488 ",2022
James Ennis,"$128,709 ",2022
Moses Wright,"$53,176 ",2022
Jay Scrubb,$0 ,2022
Kawhi Leonard,"$42,492,492 ",2023
Paul George,"$42,492,492 ",2023
Eric Gordon,"$19,568,360 ",2023
Norman Powell,"$16,758,621 ",2023
Marcus Morris,"$16,372,093 ",2023
Robert Covington,"$12,307,692 ",2023
Nicolas Batum,"$10,843,350 ",2023
Ivica Zubac,"$10,123,457 ",2023
Mason Plumlee,"$9,080,417 ",2023
Amir Coffey,"$3,395,062 ",2023
Bones Hyland,"$2,201,520 ",2023
Terance Mann,"$1,930,681 ",2023
Juwan Morgan,"$1,902,133 ",2023
Malik Fitts,"$1,836,090 ",2023
Nate Darling,"$1,637,966 ",2023
Brandon Boston Jr.,"$1,563,518 ",2023
Jason Preston,"$1,563,518 ",2023
Lucas Williamson,"$1,017,781 ",2023
Keaton Wallace,"$1,017,781 ",2023
Michael Devoe,"$1,017,781 ",2023
Russell Westbrook,"$495,955 ",2023
