,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
3,Year/Year,,0.1%,11.7%,1.2%,0.047,12.9%,10.6%,0.015,-0.5%,9.9%,6.3%,14.1%,8.7%,11.4%,1984,-3.9%,22.0%,-0.6%,-55.2%,-43.2%,-0.052,13.1%,2.8%,0.045
4,Opponent,82.0,19755,3583,7412,0.483,2116,2803,0.755,1197,2458,3655,2023,1916,9324,1984,782,426,1421,42,157,0.268,3541,7255,0.488
5,Opponent/G,,240.9,43.7,90.4,0.483,25.8,34.2,0.755,14.6,30.0,44.6,24.7,23.4,113.7,1984,9.5,5.2,17.3,0.5,1.9,0.268,43.2,88.5,0.488
6,Lg Rank,,21,13,19,7.0,22,22,7.0,16,19,18,4,22,19,1984,20,11,15,7,2,16.0,14,19,6.0
7,Year/Year,,0.1%,-1.6%,2.3%,-0.019,18.8%,18.0%,0.005,-0.1%,-9.3%,-6.5%,-10.2%,-0.9%,2.5%,1984,1.3%,4.9%,-5.5%,27.3%,25.6%,0.004,-1.9%,1.9%,-0.019
0,Team,82.0,19830,3748,7440,0.504,1581,2261,0.699,1325,2395,3720,2239,2033,9118,1985,683,597,1605,41,186,0.22,3707,7254,0.511
1,Team/G,,241.8,45.7,90.7,0.504,19.3,27.6,0.699,16.2,29.2,45.4,27.3,24.8,111.2,1985,8.3,7.3,19.6,0.5,2.3,0.22,45.2,88.5,0.511
2,Lg Rank,,6,4,5,4.0,22,19,23.0,4,10,4,8,11,9,1985,14,2,22,21,20,21.0,4,3,5.0
3,Year/Year,,0.4%,0.5%,-1.2%,0.009,-0.1%,5.7%,-0.041,10.4%,-3.5%,1.0%,1.6%,-12.3%,0.5%,1985,10.0%,15.9%,2.8%,36.7%,20.8%,0.026,0.2%,-1.7%,0.01
4,Opponent,82.0,19830,3500,7274,0.481,1887,2425,0.778,1159,2222,3381,2117,1903,8977,1985,773,415,1495,90,258,0.349,3410,7016,0.486
5,Opponent/G,,241.8,42.7,88.7,0.481,23.0,29.6,0.778,14.1,27.1,41.2,25.8,23.2,109.5,1985,9.4,5.1,18.2,1.1,3.1,0.349,41.6,85.6,0.486
6,Lg Rank,,6,5,11,6.0,15,14,22.0,12,3,3,10,21,10,1985,21,9,9,21,13,23.0,3,10,5.0
7,Year/Year,,0.4%,-2.3%,-1.9%,-0.002,-10.8%,-13.5%,0.023,-3.2%,-9.6%,-7.5%,4.6%,-0.7%,-3.7%,1985,-1.2%,-2.6%,5.2%,114.3%,64.3%,0.081,-3.7%,-3.3%,-0.002
0,Team,82.0,19755,3759,7671,0.49,1776,2434,0.73,1316,2434,3750,2318,1991,9379,1986,745,551,1374,85,310,0.274,3674,7361,0.499
1,Team/G,,240.9,45.8,93.5,0.49,21.7,29.7,0.73,16.0,29.7,45.7,28.3,24.3,114.4,1986,9.1,6.7,16.8,1.0,3.8,0.274,44.8,89.8,0.499
2,Lg Rank,,20,2,3,10.0,19,12,20.0,2,10,3,4,6,6,1986,9,3,7,9,8,12.0,3,3,8.0
3,Year/Year,,-0.4%,0.3%,3.1%,-0.014,12.3%,7.7%,0.03,-0.7%,1.6%,0.8%,3.5%,-2.1%,2.9%,1986,9.1%,-7.7%,-14.4%,107.3%,66.7%,0.054,-0.9%,1.5%,-0.012
4,Opponent,82.0,19755,3638,7402,0.491,1802,2406,0.749,1190,2389,3579,2196,1977,9165,1986,683,386,1464,87,268,0.325,3551,7134,0.498
5,Opponent/G,,240.9,44.4,90.3,0.491,22.0,29.3,0.749,14.5,29.1,43.6,26.8,24.1,111.8,1986,8.3,4.7,17.9,1.1,3.3,0.325,43.3,87.0,0.498
6,Lg Rank,,20,19,17,13.0,8,8,6.0,17,13,14,16,18,13,1986,7,5,14,17,11,22.0,18,17,12.0
7,Year/Year,,-0.4%,3.9%,1.8%,0.01,-4.5%,-0.8%,-0.029,2.7%,7.5%,5.9%,3.7%,3.9%,2.1%,1986,-11.6%,-7.0%,-2.1%,-3.3%,3.9%,-0.024,4.1%,1.7%,0.012
0,Team,82.0,19780,3465,7262,0.477,1746,2355,0.741,1190,2481,3671,2227,1973,8765,1987,654,555,1384,89,324,0.275,3376,6938,0.487
1,Team/G,,241.2,42.3,88.6,0.477,21.3,28.7,0.741,14.5,30.3,44.8,27.2,24.1,106.9,1987,8.0,6.8,16.9,1.1,4.0,0.275,41.2,84.6,0.487
2,Lg Rank,,13,13,12,11.0,18,19,20.0,14,5,7,7,9,16,1987,19,4,11,15,17,14.0,11,10,13.0
3,Year/Year,,0.1%,-7.8%,-5.3%,-0.013,-1.7%,-3.2%,0.012,-9.6%,1.9%,-2.1%,-3.9%,-0.9%,-6.5%,1987,-12.2%,0.7%,0.7%,4.7%,4.5%,0.0,-8.1%,-5.7%,-0.013
4,Opponent,82.0,19780,3348,7225,0.463,1887,2422,0.779,1167,2364,3531,2126,1922,8683,1987,721,368,1366,100,355,0.282,3248,6870,0.473
5,Opponent/G,,241.2,40.8,88.1,0.463,23.0,29.5,0.779,14.2,28.8,43.1,25.9,23.4,105.9,1987,8.8,4.5,16.7,1.2,4.3,0.282,39.6,83.8,0.473
6,Lg Rank,,13,6,8,5.0,10,9,22.0,8,12,11,11,19,3,1987,13,2,15,4,6,5.0,7,8,5.0
7,Year/Year,,0.1%,-8.0%,-2.4%,-0.028,4.7%,0.7%,0.03,-1.9%,-1.0%,-1.3%,-3.2%,-2.8%,-5.3%,1987,5.6%,-4.7%,-6.7%,14.9%,32.5%,-0.043,-8.5%,-3.7%,-0.025
