,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
6,Lg Rank,,11,7,6,6.0,4,5,2.0,18,19,20,3,17,5,1983,5,6,18,8,6,10.0,6,7,7.0
7,Year/Year,,-0.5%,7.4%,7.3%,0.0,-15.0%,-10.0%,-0.042,14.8%,7.7%,10.0%,3.0%,-9.1%,2.1%,1983,13.5%,-10.6%,1.7%,-15.2%,-10.8%,-0.012,7.7%,7.8%,-0.001
0,Team,82.0,19855,3230,6809,0.474,1838,2414,0.761,1112,2232,3344,1827,2091,8321,1984,626,558,1329,23,106,0.217,3207,6703,0.478
1,Team/G,,242.1,39.4,83.0,0.474,22.4,29.4,0.761,13.6,27.2,40.8,22.3,25.5,101.5,1984,7.6,6.8,16.2,0.3,1.3,0.217,39.1,81.7,0.478
2,Lg Rank,,9,23,23,20.0,13,14,9.0,15,20,22,23,10,23,1984,19,3,3,22,23,17.0,23,21,21.0
3,Year/Year,,0.4%,-3.6%,-4.7%,0.005,15.9%,14.4%,0.01,-2.4%,-8.3%,-6.4%,-6.1%,3.4%,-0.2%,1984,9.2%,-16.1%,-6.7%,-48.9%,-43.6%,-0.022,-3.0%,-3.7%,0.003
4,Opponent,82.0,19855,3277,6845,0.479,1834,2380,0.771,1191,2410,3601,2026,2087,8427,1984,579,424,1409,39,185,0.211,3238,6660,0.486
5,Opponent/G,,242.1,40.0,83.5,0.479,22.4,29.0,0.771,14.5,29.4,43.9,24.7,25.5,102.8,1984,7.1,5.2,17.2,0.5,2.3,0.211,39.5,81.2,0.486
6,Lg Rank,,9,3,2,4.0,12,10,21.0,14,16,16,5,16,2,1984,1,10,16,6,8,6.0,3,2,4.0
7,Year/Year,,0.4%,-3.1%,-4.9%,0.009,14.1%,6.5%,0.051,-8.6%,-6.3%,-7.0%,5.1%,5.4%,0.2%,1984,-11.7%,9.3%,-4.0%,0.0%,11.4%,-0.024,-3.2%,-5.3%,0.011
0,Team,82.0,19855,3444,7119,0.484,1782,2371,0.752,1161,2345,3506,2009,2047,8743,1985,665,541,1475,73,235,0.311,3371,6884,0.49
1,Team/G,,242.1,42.0,86.8,0.484,21.7,28.9,0.752,14.2,28.6,42.8,24.5,25.0,106.6,1985,8.1,6.6,18.0,0.9,2.9,0.311,41.1,84.0,0.49
