,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
5,Opponent/G,,240.3,44.3,92.9,0.477,,,,,,,20.9,27.8,0.752,14.9,29.6,44.5,26.5,18.6,27.6,109.5,1979,9.0,5.7
6,Lg Rank,,18,11,13,5.0,,,,,,,10,10,11.0,11,6,8,13,17,1,7,1979,11,16
7,Year/Year,,-0.6%,-1.3%,-2.3%,0.005,,,,,,,-1.6%,-3.7%,0.017,-3.9%,-4.6%,-4.4%,-3.3%,-5.6%,1.9%,-1.3%,1979,-15.8%,-10.1%
0,Team,82.0,19830,3462,7470,0.463,83.0,255.0,0.325,3379,7215,0.468,1871,2539,0.737,1311,2524,3835,2079,1533,1917,8878,1980,746,404
1,Team/G,,241.8,42.2,91.1,0.463,1.0,3.1,0.325,41.2,88.0,0.468,22.8,31.0,0.737,16.0,30.8,46.8,25.4,18.7,23.4,108.3,1980,9.1,4.9
2,Lg Rank,,10,17,13,20.0,6.0,8.0,3.0,17,11,19.0,8,3,21.0,6,6,3,15,10,7,14,1980,17,12
3,Year/Year,,0.6%,-1.6%,2.2%,-0.018,,,,-3.9%,-1.3%,-0.013,-8.6%,-10.6%,0.017,0.3%,-2.8%,-1.7%,-4.0%,-8.0%,-9.0%,-2.2%,1980,10.8%,-2.9%
4,Opponent,82.0,19830,3736,7591,0.492,70.0,214.0,0.327,3666,7377,0.497,1698,2235,0.76,1197,2587,3784,2289,1438,2033,9240,1980,812,455
5,Opponent/G,,241.8,45.6,92.6,0.492,0.9,2.6,0.327,44.7,90.0,0.497,20.7,27.3,0.76,14.6,31.5,46.1,27.9,17.5,24.8,112.7,1980,9.9,5.5
6,Lg Rank,,10,18,17,13.0,15.0,10.0,20.0,18,17,12.0,9,11,8.0,7,18,16,18,18,11,18,1980,15,14
7,Year/Year,,0.6%,2.9%,-0.3%,0.015,,,,1.0%,-3.1%,0.02,-0.9%,-1.8%,0.007,-1.7%,6.5%,3.8%,5.3%,-6.0%,-10.1%,3.0%,1980,10.0%,-3.4%
0,Team,82.0,19955,3784,7960,0.475,30,145,0.207,3754,7815,0.48,2388,3051,0.783,1325,2497,3822,2030,1444,2108,9986,1981,720,380
1,Team/G,,243.4,46.1,97.1,0.475,0.4,1.8,0.207,45.8,95.3,0.48,29.1,37.2,0.783,16.2,30.5,46.6,24.8,17.6,25.7,121.8,1981,8.8,4.6
2,Lg Rank,,1,1,1,18.0,14,14,16.0,2,1,17.0,1,1,1.0,2,4,2,14,6,16,1,1981,13,18
3,Year/Year,,0.6%,9.3%,6.6%,0.012,-63.9%,-43.1%,-0.119,11.1%,8.3%,0.012,27.6%,20.2%,0.046,1.1%,-1.1%,-0.3%,-2.4%,-5.8%,10.0%,12.5%,1981,-3.5%,-5.9%
4,Opponent,82.0,19955,4059,8017,0.506,44,162,0.272,4015,7855,0.511,1863,2507,0.743,1320,2680,4000,2529,1555,2387,10025,1981,704,547
5,Opponent/G,,243.4,49.5,97.8,0.506,0.5,2.0,0.272,49.0,95.8,0.511,22.7,30.6,0.743,16.1,32.7,48.8,30.8,19.0,29.1,122.3,1981,8.6,6.7
6,Lg Rank,,1,23,23,21.0,16,12,19.0,23,23,20.0,18,20,6.0,22,23,23,23,10,1,23,1981,8,21
7,Year/Year,,0.6%,8.6%,5.6%,0.014,-37.1%,-24.3%,-0.055,9.5%,6.5%,0.014,9.7%,12.2%,-0.017,10.3%,3.6%,5.7%,10.5%,8.1%,17.4%,8.5%,1981,-13.3%,20.2%
0,Team,82.0,19830,3980,7656,0.52,40,149,0.268,3940,7507,0.525,2371,2978,0.796,1149,2443,3592,2272,1470,2131,10371,1982,664,368
1,Team/G,,241.8,48.5,93.4,0.52,0.5,1.8,0.268,48.0,91.5,0.525,28.9,36.3,0.796,14.0,29.8,43.8,27.7,17.9,26.0,126.5,1982,8.1,4.5
2,Lg Rank,,6,1,1,1.0,15,15,10.0,1,1,1.0,1,1,1.0,12,9,11,2,14,10,1,1982,14,17
3,Year/Year,,-0.6%,5.2%,-3.8%,0.044,33.3%,2.8%,0.062,5.0%,-3.9%,0.044,-0.7%,-2.4%,0.013,-13.3%,-2.2%,-6.0%,11.9%,1.8%,1.1%,3.9%,1982,-7.8%,-3.2%
4,Opponent,82.0,19830,4265,8142,0.524,64,227,0.282,4201,7915,0.531,1734,2354,0.737,1358,2459,3817,2516,1476,2453,10328,1982,749,569
5,Opponent/G,,241.8,52.0,99.3,0.524,0.8,2.8,0.282,51.2,96.5,0.531,21.1,28.7,0.737,16.6,30.0,46.5,30.7,18.0,29.9,126.0,1982,9.1,6.9
6,Lg Rank,,6,23,23,22.0,22,23,16.0,23,23,22.0,11,11,6.0,23,18,22,23,8,1,23,1982,18,22
