,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19755,3485,7514,0.464,1735,2389,0.726,1194,2456,3650,2240,835,628,1403,2040,8844,1987,139,448,0.31,3346,7066,0.474
1,Team/G,,240.9,42.5,91.6,0.464,21.2,29.1,0.726,14.6,30.0,44.5,27.3,10.2,7.7,17.1,24.9,107.9,1987,1.7,5.5,0.31,40.8,86.2,0.474
2,Lg Rank,,19,12,2,21.0,20,17,22.0,12,8,9,6,2,2,12,13,15,1987,7,6,10.0,14,5,21.0
3,Year/Year,,-0.1%,0.9%,6.1%,-0.024,-10.1%,-11.3%,0.01,11.8%,-0.9%,2.9%,1.9%,16.5%,-5.7%,-7.6%,0.1%,-0.3%,1987,297.1%,165.1%,0.103,-2.1%,2.2%,-0.021
4,Opponent,82.0,19755,3347,7338,0.456,1974,2564,0.77,1310,2637,3947,2011,718,457,1579,1992,8811,1987,143,451,0.317,3204,6887,0.465
5,Opponent/G,,240.9,40.8,89.5,0.456,24.1,31.3,0.77,16.0,32.2,48.1,24.5,8.8,5.6,19.3,24.3,107.5,1987,1.7,5.5,0.317,39.1,84.0,0.465
6,Lg Rank,,19,5,14,2.0,16,13,19.0,21,21,23,3,12,12,1,15,9,1987,22,22,18.0,3,10,2.0
7,Year/Year,,-0.1%,-3.5%,-0.0%,-0.017,4.1%,3.3%,0.006,8.4%,5.1%,6.2%,1.7%,-4.5%,-1.5%,3.1%,-10.3%,-1.0%,1987,120.0%,79.7%,0.058,-5.9%,-2.8%,-0.015
0,Team,82.0,19705,3484,7092,0.491,1802,2404,0.75,1066,2553,3619,2407,771,627,1481,1986,8899,1988,129,404,0.319,3355,6688,0.502
1,Team/G,,240.3,42.5,86.5,0.491,22.0,29.3,0.75,13.0,31.1,44.1,29.4,9.4,7.6,18.1,24.2,108.5,1988,1.6,4.9,0.319,40.9,81.6,0.502
2,Lg Rank,,21,8,15,4.0,14,12,18.0,21,1,8,2,4,1,20,13,11,1988,13,13,11.0,11,14,3.0
3,Year/Year,,-0.3%,-0.0%,-5.6%,0.027,3.9%,0.6%,0.023,-10.7%,3.9%,-0.8%,7.5%,-7.7%,-0.2%,5.6%,-2.6%,0.6%,1988,-7.2%,-9.8%,0.009,0.3%,-5.3%,0.028
4,Opponent,82.0,19705,3273,7283,0.449,1905,2475,0.77,1277,2444,3721,1991,771,472,1467,2013,8597,1988,146,464,0.315,3127,6819,0.459
5,Opponent/G,,240.3,39.9,88.8,0.449,23.2,30.2,0.77,15.6,29.8,45.4,24.3,9.4,5.8,17.9,24.5,104.8,1988,1.8,5.7,0.315,38.1,83.2,0.459
6,Lg Rank,,21,3,15,1.0,16,16,17.0,22,16,19,7,20,17,4,5,5,1988,20,21,11.0,3,12,1.0
7,Year/Year,,-0.3%,-2.2%,-0.7%,-0.007,-3.5%,-3.5%,-0.0,-2.5%,-7.3%,-5.7%,-1.0%,7.4%,3.3%,-7.1%,1.1%,-2.4%,1988,2.1%,2.9%,-0.002,-2.4%,-1.0%,-0.007
0,Team,82.0,19730,3182,6595,0.482,2110,2742,0.77,1050,2607,3657,2108,720,583,1532,1894,8588,1989,114,380,0.3,3068,6215,0.494
1,Team/G,,240.6,38.8,80.4,0.482,25.7,33.4,0.77,12.8,31.8,44.6,25.7,8.8,7.1,18.7,23.1,104.7,1989,1.4,4.6,0.3,37.4,75.8,0.494
2,Lg Rank,,25,25,25,10.0,2,1,14.0,22,3,9,11,16,3,19,9,21,1989,19,20,19.0,23,25,10.0
3,Year/Year,,0.1%,-8.7%,-7.0%,-0.009,17.1%,14.1%,0.02,-1.5%,2.1%,1.1%,-12.4%,-6.6%,-7.0%,3.4%,-4.6%,-3.5%,1989,-11.6%,-5.9%,-0.019,-8.6%,-7.1%,-0.008
4,Opponent,82.0,19730,3113,7170,0.434,1765,2342,0.754,1220,2233,3453,1812,779,505,1329,2086,8176,1989,185,606,0.305,2928,6564,0.446
5,Opponent/G,,240.6,38.0,87.4,0.434,21.5,28.6,0.754,14.9,27.2,42.1,22.1,9.5,6.2,16.2,25.4,99.7,1989,2.3,7.4,0.305,35.7,80.0,0.446
6,Lg Rank,,25,1,10,1.0,9,12,5.0,18,4,7,1,19,21,17,3,1,1989,18,24,7.0,1,6,1.0
7,Year/Year,,0.1%,-4.9%,-1.6%,-0.015,-7.3%,-5.4%,-0.016,-4.5%,-8.6%,-7.2%,-9.0%,1.0%,7.0%,-9.4%,3.6%,-4.9%,1989,26.7%,30.6%,-0.009,-6.4%,-3.7%,-0.013
0,Team,82.0,19830,3330,6593,0.505,1874,2484,0.754,953,2501,3454,2212,677,491,1410,2031,8760,1990,226,630,0.359,3104,5963,0.521
1,Team/G,,241.8,40.6,80.4,0.505,22.9,30.3,0.754,11.6,30.5,42.1,27.0,8.3,6.0,17.2,24.8,106.8,1990,2.8,7.7,0.359,37.9,72.7,0.521
2,Lg Rank,,9,20,27,1.0,10,8,18.0,24,6,19,5,17,7,22,22,15,1990,9,11,5.0,20,27,1.0
3,Year/Year,,0.5%,4.7%,-0.0%,0.023,-11.2%,-9.4%,-0.015,-9.2%,-4.1%,-5.6%,4.9%,-6.0%,-15.8%,-8.0%,7.2%,2.0%,1990,98.2%,65.8%,0.059,1.2%,-4.1%,0.027
4,Opponent,82.0,19830,3164,6949,0.455,1865,2452,0.761,1100,2210,3310,1885,736,452,1241,1910,8367,1990,174,563,0.309,2990,6386,0.468
5,Opponent/G,,241.8,38.6,84.7,0.455,22.7,29.9,0.761,13.4,27.0,40.4,23.0,9.0,5.5,15.1,23.3,102.0,1990,2.1,6.9,0.309,36.5,77.9,0.468
6,Lg Rank,,9,3,8,2.0,18,19,10.0,9,2,2,5,20,22,19,12,3,1990,13,18,4.0,3,6,2.0
7,Year/Year,,0.5%,1.6%,-3.1%,0.021,5.7%,4.7%,0.007,-9.8%,-1.0%,-4.1%,4.0%,-5.5%,-10.5%,-6.6%,-8.4%,2.3%,1990,-5.9%,-7.1%,0.004,2.1%,-2.7%,0.022
0,Team,82.0,19780,3214,6537,0.492,1951,2472,0.789,867,2474,3341,2217,652,451,1305,1796,8527,1991,148,458,0.323,3066,6079,0.504
1,Team/G,,241.2,39.2,79.7,0.492,23.8,30.1,0.789,10.6,30.2,40.7,27.0,8.0,5.5,15.9,21.9,104.0,1991,1.8,5.6,0.323,37.4,74.1,0.504
2,Lg Rank,,20,25,27,6.0,5,6,7.0,27,9,23,3,19,9,12,8,16,1991,17,17,11.0,23,27,6.0
3,Year/Year,,-0.3%,-3.5%,-0.8%,-0.013,4.1%,-0.5%,0.035,-9.0%,-1.1%,-3.3%,0.2%,-3.7%,-8.1%,-7.4%,-11.6%,-2.7%,1991,-34.5%,-27.3%,-0.036,-1.2%,1.9%,-0.016
