,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
7,8,Matt Guokas,30,82,,25.5,3.1,6.1,0.51,,,,3.1,6.1,0.51,0.51,1.0,1.3,0.757,0.3,1.4,1.7,2.2,0.5,0.2,,1.9,7.2,1975
8,9,John Block,30,50,,17.6,3.0,6.3,0.473,,,,3.0,6.3,0.473,0.473,2.1,2.7,0.784,1.3,3.0,4.3,0.9,0.8,0.6,,2.2,8.1,1975
9,10,Rowland Garrett,24,70,,16.9,3.3,6.8,0.481,,,,3.3,6.8,0.481,0.481,1.1,1.4,0.794,1.1,2.4,3.5,0.6,0.3,0.2,,1.8,7.6,1975
10,11,Tom Boerwinkle,29,80,,14.7,1.7,3.4,0.487,,,,1.7,3.4,0.487,0.487,0.9,1.2,0.768,1.3,3.4,4.8,3.4,0.3,0.6,,2.0,4.2,1975
11,12,Bobby Wilson,24,48,,8.9,2.4,4.7,0.511,,,,2.4,4.7,0.511,0.511,1.0,1.2,0.793,0.4,0.7,1.1,0.8,0.5,0.0,,1.1,5.8,1975
12,13,Mickey Johnson,22,38,,7.7,1.4,3.1,0.449,,,,1.4,3.1,0.449,0.449,1.0,1.5,0.638,0.8,1.6,2.5,0.5,0.3,0.3,,1.5,3.8,1975
13,14,Leon Benbow,24,39,,6.5,0.9,2.4,0.372,,,,0.9,2.4,0.372,0.372,0.4,0.5,0.833,0.4,0.6,1.0,0.6,0.3,0.2,,1.1,2.2,1975
0,1,Norm Van Lier,28,76,,39.8,4.8,13.0,0.366,,,,4.8,13.0,0.366,0.366,3.1,4.2,0.737,1.8,3.6,5.4,6.6,2.0,0.3,,3.9,12.6,1976
1,2,Bob Love,33,76,,37.1,7.1,18.3,0.39,,,,7.1,18.3,0.39,0.39,4.8,5.9,0.801,2.5,4.2,6.7,1.9,0.8,0.1,,3.1,19.1,1976
2,3,Mickey Johnson,23,81,,29.5,5.9,12.8,0.463,,,,5.9,12.8,0.463,0.463,3.5,4.4,0.786,3.4,5.9,9.4,1.6,1.1,0.8,,3.6,15.3,1976
3,4,Jerry Sloan,33,22,,28.0,3.8,9.5,0.4,,,,3.8,9.5,0.4,0.4,2.5,3.5,0.705,1.8,3.5,5.3,1.0,1.2,0.2,,3.5,10.1,1976
4,5,Tom Boerwinkle,30,74,,27.6,3.6,7.2,0.5,,,,3.6,7.2,0.5,0.5,1.6,2.4,0.667,3.6,7.1,10.7,3.8,0.6,0.7,,3.6,8.8,1976
5,6,Jack Marin,31,67,,24.3,4.5,10.7,0.421,,,,4.5,10.7,0.421,0.421,2.0,2.3,0.865,0.9,2.3,3.2,1.8,0.6,0.1,,2.0,11.0,1976
6,7,Rowland Garrett,25,14,,23.1,4.1,9.4,0.435,,,,4.1,9.4,0.435,0.435,2.7,3.1,0.864,1.9,3.4,5.4,0.5,0.6,0.3,,2.3,10.9,1976
7,8,John Laskowski,22,71,,22.1,4.0,9.7,0.412,,,,4.0,9.7,0.412,0.412,1.2,1.7,0.725,0.7,2.4,3.1,0.8,0.8,0.1,,1.3,9.2,1976
8,9,Leon Benbow,25,76,,20.9,2.9,7.3,0.397,,,,2.9,7.3,0.397,0.397,1.4,1.8,0.75,0.9,1.5,2.3,2.1,0.8,0.1,,2.4,7.1,1976
9,10,Nate Thurmond,34,13,,20.0,1.5,3.5,0.444,,,,1.5,3.5,0.444,0.444,0.6,1.4,0.444,1.1,4.4,5.5,2.0,0.3,0.9,,1.2,3.7,1976
10,11,Cliff Pondexter,21,75,,17.7,2.1,5.1,0.411,,,,2.1,5.1,0.411,0.411,1.6,2.4,0.67,1.5,3.6,5.1,1.2,0.4,0.3,,1.8,5.8,1976
11,12,Matt Guokas,31,18,,15.4,2.0,4.1,0.486,,,,2.0,4.1,0.486,0.486,0.5,0.6,0.818,0.2,0.7,0.9,1.6,0.3,0.1,,1.3,4.5,1976
12,13,Steve Patterson,27,52,,15.0,1.3,3.5,0.379,,,,1.3,3.5,0.379,0.379,0.5,0.8,0.591,1.4,2.4,3.8,1.4,0.3,0.2,,1.6,3.2,1976
13,14,Bobby Wilson,25,58,,14.8,3.4,8.4,0.403,,,,3.4,8.4,0.403,0.403,0.7,1.0,0.741,0.6,1.1,1.6,0.9,0.4,0.0,,1.7,7.5,1976
