,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19805,2988,6342,0.471,591,1382,0.428,2397,4960,0.483,1541,1984,0.777,910,2298,3208,2021,597,349,1203,1702,8108,1997
1,Team/G,,241.5,36.4,77.3,0.471,7.2,16.9,0.428,29.2,60.5,0.483,18.8,24.2,0.777,11.1,28.0,39.1,24.6,7.3,4.3,14.7,20.8,98.9,1997
2,Lg Rank,,18,15,21,4.0,5,13,1.0,19,21,13.0,13,21,2.0,26,17,26,4,26,22,5,6,12,1997
3,Year/Year,,-0.4%,-3.9%,-4.2%,0.002,1.2%,-9.1%,0.043,-5.0%,-2.7%,-0.012,-5.5%,-6.4%,0.007,-7.8%,1.9%,-1.1%,6.0%,2.6%,26.0%,-3.1%,-6.2%,-3.8%,1997
4,Opponent,82.0,19805,3056,6650,0.46,487,1364,0.357,2569,5286,0.486,1356,1857,0.73,1077,2256,3333,1783,532,335,1143,1781,7955,1997
5,Opponent/G,,241.5,37.3,81.1,0.46,5.9,16.6,0.357,31.3,64.5,0.486,16.5,22.6,0.73,13.1,27.5,40.6,21.7,6.5,4.1,13.9,21.7,97.0,1997
6,Lg Rank,,18,22,21,16.0,14,12,13.0,21,22,17.0,5,5,6.0,21,7,12,13,2,6,28,17,15,1997
7,Year/Year,,-0.4%,-6.1%,-0.0%,-0.03,-8.1%,1.8%,-0.038,-5.7%,-0.5%,-0.027,-5.8%,-5.1%,-0.006,13.0%,-4.3%,0.7%,-13.0%,-0.7%,-9.0%,-5.9%,-2.6%,-6.2%,1997
0,Team,82.0,19780,2968,6344,0.468,346,904,0.383,2622,5440,0.482,1641,2186,0.751,985,2341,3326,1941,691,312,1247,1757,7923,1998
1,Team/G,,241.2,36.2,77.4,0.468,4.2,11.0,0.383,32.0,66.3,0.482,20.0,26.7,0.751,12.0,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6,1998
2,Lg Rank,,21,11,24,6.0,12,19,3.0,12,17,8.0,11,10,10.0,23,14,21,8,11,27,12,7,10,1998
3,Year/Year,,-0.1%,-0.7%,0.0%,-0.003,-41.5%,-34.6%,-0.045,9.4%,9.7%,-0.001,6.5%,10.2%,-0.026,8.2%,1.9%,3.7%,-4.0%,15.7%,-10.6%,3.7%,3.2%,-2.3%,1998
4,Opponent,82.0,19780,2977,6417,0.464,369,1063,0.347,2608,5354,0.487,1436,1964,0.731,965,2259,3224,1806,582,372,1240,1902,7759,1998
5,Opponent/G,,241.2,36.3,78.3,0.464,4.5,13.0,0.347,31.8,65.3,0.487,17.5,24.0,0.731,11.8,27.5,39.3,22.0,7.1,4.5,15.1,23.2,94.6,1998
6,Lg Rank,,21,18,10,22.0,17,17,17.0,17,9,22.0,6,7,9.0,3,9,5,16,1,7,16,7,14,1998
7,Year/Year,,-0.1%,-2.6%,-3.5%,0.004,-24.2%,-22.1%,-0.01,1.5%,1.3%,0.001,5.9%,5.8%,0.001,-10.4%,0.1%,-3.3%,1.3%,9.4%,11.0%,8.5%,6.8%,-2.5%,1998
0,Team,50.0,12150,1671,3718,0.449,268,735,0.365,1403,2983,0.47,1034,1384,0.747,480,1493,1973,1110,443,247,796,1101,4644,1999
1,Team/G,,243.0,33.4,74.4,0.449,5.4,14.7,0.365,28.1,59.7,0.47,20.7,27.7,0.747,9.6,29.9,39.5,22.2,8.9,4.9,15.9,22.0,92.9,1999
2,Lg Rank,,5,20,24,7.0,8,8,6.0,23,27,8.0,4,7,8.0,28,10,25,5,9,16,19,11,12,1999
3,Year/Year,,0.7%,-7.7%,-3.9%,-0.018,27.0%,33.3%,-0.018,-12.2%,-10.1%,-0.012,3.3%,3.8%,-0.004,-20.1%,4.6%,-2.7%,-6.2%,5.1%,29.8%,4.7%,2.8%,-3.9%,1999
4,Opponent,50.0,12150,1739,4003,0.434,212,637,0.333,1527,3366,0.454,959,1306,0.734,655,1491,2146,1092,443,232,762,1151,4649,1999
5,Opponent/G,,243.0,34.8,80.1,0.434,4.2,12.7,0.333,30.5,67.3,0.454,19.2,26.1,0.734,13.1,29.8,42.9,21.8,8.9,4.6,15.2,23.0,93.0,1999
6,Lg Rank,,5,19,23,12.0,8,10,10.0,19,25,11.0,17,16,21.0,22,18,22,21,23,10,18,8,18,1999
7,Year/Year,,0.7%,-4.2%,2.3%,-0.029,-5.8%,-1.7%,-0.014,-4.0%,3.1%,-0.033,9.5%,9.1%,0.003,11.3%,8.2%,9.2%,-0.8%,24.8%,2.3%,0.8%,-0.8%,-1.7%,1999
0,Team,82.0,19780,2935,6533,0.449,339,1001,0.339,2596,5532,0.469,1863,2458,0.758,884,2635,3519,2023,732,480,1206,1670,8072,2000
