,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19880,3898,7368,0.529,1622,2092,0.775,1085,2653,3738,2413,1784,9438,1980,774,546,1639,20.0,100.0,0.2,3878,7268,0.534
1,Team/G,,242.4,47.5,89.9,0.529,19.8,25.5,0.775,13.2,32.4,45.6,29.4,21.8,115.1,1980,9.4,6.7,20.0,0.2,1.2,0.2,47.3,88.6,0.534
2,Lg Rank,,4,1,15,1.0,15,19,6.0,20,2,7,1,1,2,1980,13,4,18,21.0,21.0,19.0,1,10,1.0
3,Year/Year,,0.5%,1.9%,-0.4%,0.012,1.0%,0.2%,0.006,14.3%,3.8%,6.6%,3.2%,-3.6%,1.9%,1980,-2.4%,9.2%,4.5%,,,,1.3%,-1.7%,0.016
4,Opponent,82.0,19880,3723,7921,0.47,1430,1884,0.759,1312,2242,3554,2324,1860,8954,1980,797,382,1420,78.0,274.0,0.285,3645,7647,0.477
5,Opponent/G,,242.4,45.4,96.6,0.47,17.4,23.0,0.759,16.0,27.3,43.3,28.3,22.7,109.2,1980,9.7,4.7,17.3,1.0,3.3,0.285,44.5,93.3,0.477
6,Lg Rank,,4,17,21,7.0,1,1,7.0,18,1,5,21,20,11,1980,14,3,19,20.0,18.0,14.0,16,21,7.0
7,Year/Year,,0.5%,-1.9%,0.9%,-0.014,1.1%,-2.4%,0.026,1.9%,-9.8%,-5.8%,4.0%,-5.0%,-0.6%,1980,8.1%,6.4%,-7.9%,,,,-4.0%,-2.6%,-0.007
0,Team,82.0,19805,3780,7382,0.512,1540,2113,0.729,1165,2491,3656,2363,1955,9117,1981,808,551,1557,17,94,0.181,3763,7288,0.516
1,Team/G,,241.5,46.1,90.0,0.512,18.8,25.8,0.729,14.2,30.4,44.6,28.8,23.8,111.2,1981,9.9,6.7,19.0,0.2,1.1,0.181,45.9,88.9,0.516
2,Lg Rank,,7,2,6,2.0,21,20,17.0,15,5,9,2,4,5,1981,7,4,15,20,19,17.0,1,5,2.0
3,Year/Year,,-0.4%,-3.0%,0.2%,-0.017,-5.1%,1.0%,-0.047,7.4%,-6.1%,-2.2%,-2.1%,9.6%,-3.4%,1981,4.4%,0.9%,-5.0%,-15.0%,-6.0%,-0.019,-3.0%,0.3%,-0.017
4,Opponent,82.0,19805,3581,7701,0.465,1598,2158,0.741,1378,2274,3652,2280,1869,8802,1981,754,357,1473,42,184,0.228,3539,7517,0.471
5,Opponent/G,,241.5,43.7,93.9,0.465,19.5,26.3,0.741,16.8,27.7,44.5,27.8,22.8,107.3,1981,9.2,4.4,18.0,0.5,2.2,0.228,43.2,91.7,0.471
6,Lg Rank,,7,15,22,4.0,4,3,5.0,23,6,17,22,22,13,1981,17,2,15,13,19,9.0,16,22,6.0
