,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
1,Team/G,,241.2,44.4,92.6,0.48,19.4,26.2,0.74,15.0,29.5,44.4,23.8,25.2,108.9,1980,9.5,6.9,21.2,0.7,2.7,0.26,43.7,90.0,0.486
2,Lg Rank,,16,6,6,12.0,18,16,19.0,14,13,13,19,15,11,1980,8,3,22,12.0,10.0,11.0,6,6,12.0
3,Year/Year,,0.0%,-1.8%,-2.6%,0.004,-1.1%,-4.1%,0.023,-5.9%,1.5%,-1.1%,-6.8%,-3.4%,-1.0%,1980,-7.6%,2.2%,8.9%,,,,-3.3%,-5.4%,0.011
4,Opponent,82.0,19780,3847,7761,0.496,1858,2405,0.773,1319,2572,3891,2306,1871,9609,1980,874,470,1583,57.0,206.0,0.277,3790,7555,0.502
5,Opponent/G,,241.2,46.9,94.6,0.496,22.7,29.3,0.773,16.1,31.4,47.5,28.1,22.8,117.2,1980,10.7,5.7,19.3,0.7,2.5,0.277,46.2,92.1,0.502
6,Lg Rank,,16,21,19,18.0,17,17,19.0,20,17,21,19,19,21,1980,20,16,11,9.0,7.0,11.0,21,19,17.0
7,Year/Year,,0.0%,2.5%,1.8%,0.003,7.3%,4.8%,0.018,1.4%,-2.1%,-1.0%,5.0%,-2.2%,4.0%,1980,31.2%,-6.7%,-9.2%,,,,0.9%,-0.9%,0.009
0,Team,82.0,19755,3236,6986,0.463,1689,2330,0.725,1201,2111,3312,1819,2125,8174,1981,884,492,1759,13,84,0.155,3223,6902,0.467
1,Team/G,,240.9,39.5,85.2,0.463,20.6,28.4,0.725,14.6,25.7,40.4,22.2,25.9,99.7,1981,10.8,6.0,21.5,0.2,1.0,0.155,39.3,84.2,0.467
2,Lg Rank,,17,22,19,22.0,16,15,19.0,11,23,21,23,19,23,1981,1,7,23,22,21,22.0,22,17,22.0
3,Year/Year,,-0.1%,-11.2%,-8.0%,-0.016,6.2%,8.4%,-0.015,-2.0%,-12.6%,-9.0%,-6.7%,2.7%,-8.5%,1981,12.9%,-12.5%,1.0%,-77.2%,-61.6%,-0.106,-10.1%,-6.4%,-0.019
4,Opponent,82.0,19755,3499,6869,0.509,1663,2217,0.75,1090,2396,3486,2033,2095,8692,1981,793,585,1797,31,127,0.244,3468,6742,0.514
5,Opponent/G,,240.9,42.7,83.8,0.509,20.3,27.0,0.75,13.3,29.2,42.5,24.8,25.5,106.0,1981,9.7,7.1,21.9,0.4,1.5,0.244,42.3,82.2,0.514
6,Lg Rank,,17,10,2,22.0,5,6,12.0,2,13,8,7,7,7,1981,19,23,1,3,1,14.0,10,2,22.0
7,Year/Year,,-0.1%,-9.0%,-11.5%,0.014,-10.5%,-7.8%,-0.022,-17.4%,-6.8%,-10.4%,-11.8%,12.0%,-9.5%,1981,-9.3%,24.5%,13.5%,-45.6%,-38.3%,-0.033,-8.5%,-10.8%,0.013
0,Team,82.0,19830,3561,7391,0.482,1938,2581,0.751,1298,2345,3643,2027,2160,9112,1982,741,564,1629,52,213,0.244,3509,7178,0.489
1,Team/G,,241.8,43.4,90.1,0.482,23.6,31.5,0.751,15.8,28.6,44.4,24.7,26.3,111.1,1982,9.0,6.9,19.9,0.6,2.6,0.244,42.8,87.5,0.489
2,Lg Rank,,6,10,5,17.0,3,2,9.0,2,16,8,15,11,6,1982,8,3,21,10,7,16.0,10,7,17.0
3,Year/Year,,0.4%,10.0%,5.8%,0.019,14.7%,10.8%,0.026,8.1%,11.1%,10.0%,11.4%,1.6%,11.5%,1982,-16.2%,14.6%,-7.4%,300.0%,153.6%,0.089,8.9%,4.0%,0.022
4,Opponent,82.0,19830,3749,7362,0.509,1648,2211,0.745,1159,2434,3593,2191,2383,9187,1982,782,581,1637,41,175,0.234,3708,7187,0.516
5,Opponent/G,,241.8,45.7,89.8,0.509,20.1,27.0,0.745,14.1,29.7,43.8,26.7,29.1,112.0,1982,9.5,7.1,20.0,0.5,2.1,0.234,45.2,87.6,0.516
6,Lg Rank,,6,21,16,19.0,9,8,10.0,12,16,15,21,2,20,1982,21,23,2,7,7,5.0,21,17,19.0
7,Year/Year,,0.4%,7.1%,7.2%,-0.0,-0.9%,-0.3%,-0.005,6.3%,1.6%,3.1%,7.8%,13.7%,5.7%,1982,-1.4%,-0.7%,-8.9%,32.3%,37.8%,-0.01,6.9%,6.6%,0.002
0,Team,82.0,19880,3623,7602,0.477,1921,2588,0.742,1312,2477,3789,2108,2122,9239,1983,679,572,1557,72,272,0.265,3551,7330,0.484
1,Team/G,,242.4,44.2,92.7,0.477,23.4,31.6,0.742,16.0,30.2,46.2,25.7,25.9,112.7,1983,8.3,7.0,19.0,0.9,3.3,0.265,43.3,89.4,0.484
2,Lg Rank,,2,10,4,18.0,4,4,9.0,3,9,5,13,14,6,1983,15,5,13,2,2,3.0,12,8,18.0
3,Year/Year,,0.3%,1.7%,2.9%,-0.005,-0.9%,0.3%,-0.009,1.1%,5.6%,4.0%,4.0%,-1.8%,1.4%,1983,-8.4%,1.4%,-4.4%,38.5%,27.7%,0.021,1.2%,2.1%,-0.004
4,Opponent,82.0,19880,3802,7679,0.495,1647,2287,0.72,1266,2594,3860,2252,2326,9272,1983,761,561,1580,21,182,0.115,3781,7497,0.504
5,Opponent/G,,242.4,46.4,93.6,0.495,20.1,27.9,0.72,15.4,31.6,47.1,27.5,28.4,113.1,1983,9.3,6.8,19.3,0.3,2.2,0.115,46.1,91.4,0.504
6,Lg Rank,,2,21,19,17.0,8,11,3.0,16,20,19,18,2,17,1983,15,20,11,1,11,1.0,22,19,17.0
7,Year/Year,,0.3%,1.4%,4.3%,-0.014,-0.1%,3.4%,-0.025,9.2%,6.6%,7.4%,2.8%,-2.4%,0.9%,1983,-2.7%,-3.4%,-3.5%,-48.8%,4.0%,-0.119,2.0%,4.3%,-0.012
0,Team,82.0,19905,3798,7910,0.48,1974,2547,0.775,1427,2434,3861,2256,2177,9602,1984,697,417,1310,32,141,0.227,3766,7769,0.485
1,Team/G,,242.7,46.3,96.5,0.48,24.1,31.1,0.775,17.4,29.7,47.1,27.5,26.5,117.1,1984,8.5,5.1,16.0,0.4,1.7,0.227,45.9,94.7,0.485
2,Lg Rank,,6,4,2,19.0,5,7,6.0,1,7,1,4,16,3,1984,10,11,2,16,17,16.0,4,1,19.0
3,Year/Year,,0.1%,4.8%,4.1%,0.004,2.8%,-1.6%,0.033,8.8%,-1.7%,1.9%,7.0%,2.6%,3.9%,1984,2.7%,-27.1%,-15.9%,-55.6%,-48.2%,-0.038,6.1%,6.0%,0.0
4,Opponent,82.0,19905,3657,7369,0.496,1941,2577,0.753,1163,2457,3620,2193,2187,9308,1984,621,527,1480,53,202,0.262,3604,7167,0.503
5,Opponent/G,,242.7,44.6,89.9,0.496,23.7,31.4,0.753,14.2,30.0,44.1,26.7,26.7,113.5,1984,7.6,6.4,18.0,0.6,2.5,0.262,44.0,87.4,0.503
6,Lg Rank,,6,17,16,15.0,19,20,6.0,11,18,17,16,8,18,1984,3,22,10,15,12,13.0,17,17,15.0
7,Year/Year,,0.1%,-3.8%,-4.0%,0.001,17.9%,12.7%,0.033,-8.1%,-5.3%,-6.2%,-2.6%,-6.0%,0.4%,1984,-18.4%,-6.1%,-6.3%,152.4%,11.0%,0.147,-4.7%,-4.4%,-0.001
0,Team,82.0,19830,3840,7999,0.48,1783,2262,0.788,1403,2534,3937,2302,2076,9508,1985,691,397,1341,45,199,0.226,3795,7800,0.487
1,Team/G,,241.8,46.8,97.5,0.48,21.7,27.6,0.788,17.1,30.9,48.0,28.1,25.3,116.0,1985,8.4,4.8,16.4,0.5,2.4,0.226,46.3,95.1,0.487
