,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
5,Opponent/G,,240.9,48.8,97.5,0.5,1.1,3.5,0.306,47.7,94.0,0.507,21.1,27.8,0.758,15.2,30.1,45.4,30.9,18.5,26.7,119.7,1980,10.1,5.6
6,Lg Rank,,20,22,22,21.0,21.0,20.0,18.0,22,22,22.0,14,14,6.0,13,13,14,22,15,2,22,1980,17,15
7,Year/Year,,-0.4%,5.3%,0.3%,0.024,,,,3.0%,-3.3%,0.031,-1.6%,-2.6%,0.007,-3.8%,-2.3%,-2.8%,13.7%,-11.0%,1.1%,5.0%,1980,5.1%,12.8%
0,Team,82.0,19805,3571,7276,0.491,15,85,0.176,3556,7191,0.495,2052,2668,0.769,1304,2582,3886,2048,1533,2114,9209,1981,685,643
1,Team/G,,241.5,43.5,88.7,0.491,0.2,1.0,0.176,43.4,87.7,0.495,25.0,32.5,0.769,15.9,31.5,47.4,25.0,18.7,25.8,112.3,1981,8.4,7.8
2,Lg Rank,,7,10,12,8.0,21,20,20.0,6,8,10.0,2,2,7.0,4,2,1,13,13,18,3,1981,16,1
3,Year/Year,,0.3%,-7.4%,-6.0%,-0.008,-71.2%,-58.7%,-0.076,-6.5%,-4.5%,-0.011,1.4%,5.5%,-0.032,13.1%,2.7%,5.9%,-12.0%,-3.5%,0.5%,-5.9%,1981,-11.2%,93.1%
4,Opponent,82.0,19805,3581,7582,0.472,45,168,0.268,3536,7414,0.477,1766,2387,0.74,1214,2177,3391,2206,1422,2198,8973,1981,700,481
5,Opponent/G,,241.5,43.7,92.5,0.472,0.5,2.0,0.268,43.1,90.4,0.477,21.5,29.1,0.74,14.8,26.5,41.4,26.9,17.3,26.8,109.4,1981,8.5,5.9
6,Lg Rank,,7,15,21,8.0,17,13,18.0,15,21,8.0,12,13,4.0,16,3,4,20,19,3,17,1981,7,19
7,Year/Year,,0.3%,-10.5%,-5.2%,-0.028,-48.9%,-41.7%,-0.038,-9.6%,-3.8%,-0.031,2.0%,4.6%,-0.018,-2.7%,-11.9%,-8.8%,-13.0%,-6.0%,0.3%,-8.6%,1981,-15.5%,5.3%
0,Team,82.0,19755,3698,7613,0.486,64,252,0.254,3634,7361,0.494,1812,2335,0.776,1253,2537,3790,2257,1293,2217,9272,1982,600,555
1,Team/G,,240.9,45.1,92.8,0.486,0.8,3.1,0.254,44.3,89.8,0.494,22.1,28.5,0.776,15.3,30.9,46.2,27.5,15.8,27.0,113.1,1982,7.3,6.8
2,Lg Rank,,21,3,2,15.0,4,4,12.0,4,3,14.0,7,13,2.0,5,3,1,4,1,17,3,1982,21,4
3,Year/Year,,-0.3%,3.6%,4.6%,-0.005,326.7%,196.5%,0.077,2.2%,2.4%,-0.001,-11.7%,-12.5%,0.007,-3.9%,-1.7%,-2.5%,10.2%,-15.7%,4.9%,0.7%,1982,-12.4%,-13.7%
4,Opponent,82.0,19755,3566,7385,0.483,58,199,0.291,3508,7186,0.488,1893,2497,0.758,1151,2434,3585,2036,1352,2179,9083,1982,611,429
5,Opponent/G,,240.9,43.5,90.1,0.483,0.7,2.4,0.291,42.8,87.6,0.488,23.1,30.5,0.758,14.0,29.7,43.7,24.8,16.5,26.6,110.8,1982,7.5,5.2
6,Lg Rank,,21,14,17,9.0,19,13,17.0,13,16,9.0,19,19,22.0,10,16,13,11,19,8,18,1982,2,11
7,Year/Year,,-0.3%,-0.4%,-2.6%,0.011,28.9%,18.5%,0.024,-0.8%,-3.1%,0.011,7.2%,4.6%,0.018,-5.2%,11.8%,5.7%,-7.7%,-4.9%,-0.9%,1.2%,1982,-12.7%,-10.8%
0,Team,82.0,19780,3697,7340,0.504,94,308,0.305,3603,7032,0.512,1887,2468,0.765,1232,2599,3831,2261,1504,2095,9375,1983,675,469
1,Team/G,,241.2,45.1,89.5,0.504,1.1,3.8,0.305,43.9,85.8,0.512,23.0,30.1,0.765,15.0,31.7,46.7,27.6,18.3,25.5,114.3,1983,8.2,5.7
2,Lg Rank,,11,6,13,2.0,1,1,1.0,7,15,2.0,5,7,2.0,12,1,2,5,6,13,3,1983,17,10
3,Year/Year,,0.1%,-0.0%,-3.6%,0.018,46.9%,22.2%,0.051,-0.9%,-4.5%,0.019,4.1%,5.7%,-0.011,-1.7%,2.4%,1.1%,0.2%,16.3%,-5.5%,1.1%,1983,12.5%,-15.5%
4,Opponent,82.0,19780,3654,7531,0.485,51,201,0.254,3603,7330,0.492,1716,2239,0.766,1160,2263,3423,2329,1430,2199,9075,1983,654,457
5,Opponent/G,,241.2,44.6,91.8,0.485,0.6,2.5,0.254,43.9,89.4,0.492,20.9,27.3,0.766,14.1,27.6,41.7,28.4,17.4,26.8,110.7,1983,8.0,5.6
6,Lg Rank,,11,15,17,11.0,18,17,15.0,13,17,12.0,13,6,22.0,7,3,4,21,21,8,13,1983,4,13
7,Year/Year,,0.1%,2.5%,2.0%,0.002,-12.1%,1.0%,-0.038,2.7%,2.0%,0.003,-9.4%,-10.3%,0.008,0.8%,-7.0%,-4.5%,14.4%,5.8%,0.9%,-0.1%,1983,7.0%,6.5%
0,Team,82.0,19980,3909,7721,0.506,79,263,0.3,3830,7458,0.514,1965,2604,0.755,1230,2528,3758,2361,1447,2146,9862,1984,685,491
1,Team/G,,243.7,47.7,94.2,0.506,1.0,3.2,0.3,46.7,91.0,0.514,24.0,31.8,0.755,15.0,30.8,45.8,28.8,17.6,26.2,120.3,1984,8.4,6.0
2,Lg Rank,,1,2,3,3.0,2,4,3.0,2,3,3.0,6,5,13.0,5,2,2,3,9,13,2,1984,14,6
3,Year/Year,,1.0%,5.7%,5.2%,0.003,-16.0%,-14.6%,-0.005,6.3%,6.1%,0.001,4.1%,5.5%,-0.01,-0.2%,-2.7%,-1.9%,4.4%,-3.8%,2.4%,5.2%,1984,1.5%,4.7%
4,Opponent,82.0,19980,3996,7910,0.505,52,216,0.241,3944,7694,0.513,1840,2427,0.758,1293,2455,3748,2518,1427,2187,9884,1984,652,464
5,Opponent/G,,243.7,48.7,96.5,0.505,0.6,2.6,0.241,48.1,93.8,0.513,22.4,29.6,0.758,15.8,29.9,45.7,30.7,17.4,26.7,120.5,1984,8.0,5.7
6,Lg Rank,,1,22,23,19.0,13,18,11.0,22,23,19.0,13,13,10.0,22,17,20,23,14,8,22,1984,6,15
7,Year/Year,,1.0%,9.4%,5.0%,0.02,2.0%,7.5%,-0.013,9.5%,5.0%,0.021,7.2%,8.4%,-0.008,11.5%,8.5%,9.5%,8.1%,-0.2%,-0.5%,8.9%,1984,-0.3%,1.5%
0,Team,82.0,19780,3698,7202,0.513,55,202,0.272,3643,7000,0.52,1961,2571,0.763,1127,2470,3597,2316,1542,2180,9412,1985,757,443
1,Team/G,,241.2,45.1,87.8,0.513,0.7,2.5,0.272,44.4,85.4,0.52,23.9,31.4,0.763,13.7,30.1,43.9,28.2,18.8,26.6,114.8,1985,9.2,5.4
2,Lg Rank,,14,7,16,2.0,15,15,13.0,6,11,2.0,6,4,12.0,14,6,11,4,16,20,6,1985,6,11
3,Year/Year,,-1.0%,-5.4%,-6.7%,0.007,-30.4%,-23.2%,-0.028,-4.9%,-6.1%,0.007,-0.2%,-1.3%,0.008,-8.4%,-2.3%,-4.3%,-1.9%,6.6%,1.6%,-4.6%,1985,10.5%,-9.8%
4,Opponent,82.0,19780,3644,7348,0.496,72,242,0.298,3572,7106,0.503,1977,2548,0.776,1136,2265,3401,2283,1489,2154,9337,1985,749,472
5,Opponent/G,,241.2,44.4,89.6,0.496,0.9,3.0,0.298,43.6,86.7,0.503,24.1,31.1,0.776,13.9,27.6,41.5,27.8,18.2,26.3,113.9,1985,9.1,5.8
6,Lg Rank,,14,16,14,17.0,12,8,16.0,16,13,18.0,19,18,21.0,10,5,6,20,10,6,19,1985,15,19
7,Year/Year,,-1.0%,-8.8%,-7.1%,-0.009,38.5%,12.0%,0.057,-9.4%,-7.6%,-0.01,7.4%,5.0%,0.018,-12.1%,-7.7%,-9.3%,-9.3%,4.3%,-1.5%,-5.5%,1985,14.9%,1.7%
0,Team,82.0,19805,3596,7104,0.506,46,196,0.235,3550,6908,0.514,1882,2523,0.746,1069,2413,3482,2260,1624,2115,9120,1986,800,390
1,Team/G,,241.5,43.9,86.6,0.506,0.6,2.4,0.235,43.3,84.2,0.514,23.0,30.8,0.746,13.0,29.4,42.5,27.6,19.8,25.8,111.2,1986,9.8,4.8
2,Lg Rank,,8,10,17,3.0,17,17,15.0,7,15,3.0,12,9,16.0,18,13,19,7,22,11,10,1986,5,13
3,Year/Year,,0.1%,-2.8%,-1.4%,-0.007,-16.4%,-3.0%,-0.038,-2.6%,-1.3%,-0.007,-4.0%,-1.9%,-0.017,-5.1%,-2.3%,-3.2%,-2.4%,5.3%,-3.0%,-3.1%,1986,5.7%,-12.0%
4,Opponent,82.0,19805,3629,7365,0.493,98,322,0.304,3531,7043,0.501,1916,2491,0.769,1157,2304,3461,2269,1519,2108,9272,1986,800,453
5,Opponent/G,,241.5,44.3,89.8,0.493,1.2,3.9,0.304,43.1,85.9,0.501,23.4,30.4,0.769,14.1,28.1,42.2,27.7,18.5,25.7,113.1,1986,9.8,5.5
6,Lg Rank,,8,17,15,16.0,23,22,19.0,14,12,16.0,12,10,23.0,10,4,7,20,8,10,17,1986,21,14
