,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19805,3443,7555,0.456,1532,1985,0.772,1022,2723,3745,1660,2006,8418,1976,575,259,1403,,,,,,
1,Team/G,,241.5,42.0,92.1,0.456,18.7,24.2,0.772,12.5,33.2,45.7,20.2,24.5,102.7,1976,7.0,3.2,17.1,,,,,,
2,Lg Rank,,7,11,8,11.0,16,16,4.0,16,8,14,17,6,14,1976,17,17,2,,,,,,
3,Year/Year,,0.4%,2.5%,1.2%,0.006,0.9%,0.9%,0.0,4.2%,2.7%,3.1%,-0.9%,0.2%,2.2%,1976,-11.8%,-13.7%,2.1%,,,,,,
4,Opponent,82.0,19805,3407,7426,0.459,1705,2274,0.75,1068,2891,3959,1812,1954,8519,1976,608,335,1453,,,,,,
5,Opponent/G,,241.5,41.5,90.6,0.459,20.8,27.7,0.75,13.0,35.3,48.3,22.1,23.8,103.9,1976,7.4,4.1,17.7,,,,,,
6,Lg Rank,,7,7,6,10.0,12,13,10.0,3,18,14,6,13,7,1976,1,7,17,,,,,,
7,Year/Year,,0.4%,1.4%,0.9%,0.002,5.6%,9.2%,-0.026,-0.2%,1.2%,0.8%,8.6%,2.2%,2.2%,1976,6.3%,-9.2%,-2.7%,,,,,,
0,Team,82.0,19755,3659,7530,0.486,1587,2078,0.764,974,2680,3654,1956,2007,8905,1977,714,304,1680,,,,,,
1,Team/G,,240.9,44.6,91.8,0.486,19.4,25.3,0.764,11.9,32.7,44.6,23.9,24.5,108.6,1977,8.7,3.7,20.5,,,,,,
2,Lg Rank,,12,6,13,1.0,18,18,6.0,22,8,21,14,7,7,1977,15,21,12,,,,,,
3,Year/Year,,-0.3%,6.3%,-0.3%,0.03,3.6%,4.7%,-0.008,-4.7%,-1.6%,-2.4%,17.8%,0.0%,5.8%,1977,24.2%,17.4%,19.7%,,,,,,
4,Opponent,82.0,19755,3577,7610,0.47,1752,2327,0.753,1163,2716,3879,1847,2008,8906,1977,793,412,1612,,,,,,
5,Opponent/G,,240.9,43.6,92.8,0.47,21.4,28.4,0.753,14.2,33.1,47.3,22.5,24.5,108.6,1977,9.7,5.0,19.7,,,,,,
6,Lg Rank,,12,17,12,14.0,14,13,13.0,7,16,12,5,14,18,1977,13,11,15,,,,,,
7,Year/Year,,-0.3%,5.0%,2.5%,0.011,2.8%,2.3%,0.003,8.9%,-6.1%,-2.0%,1.9%,2.8%,4.5%,1977,30.4%,23.0%,10.9%,,,,,,
0,Team,82.0,20005,3815,7822,0.488,1670,2225,0.751,1180,2689,3869,2338,2193,9300,1978,818,442,1764,,,,,,
1,Team/G,,244.0,46.5,95.4,0.488,20.4,27.1,0.751,14.4,32.8,47.2,28.5,26.7,113.4,1978,10.0,5.4,21.5,,,,,,
2,Lg Rank,,1,1,4,2.0,16,16,13.0,16,6,10,1,18,3,1978,8,8,19,,,,,,
3,Year/Year,,1.3%,4.3%,3.9%,0.002,5.2%,7.1%,-0.013,21.1%,0.3%,5.9%,19.5%,9.3%,4.4%,1978,14.6%,45.4%,5.0%,,,,,,
