Player,Salary,Year
Malcolm Brogdon,"$1,544,951 ",2019
Sterling Brown,"$1,378,242 ",2019
Pau Gasol,"$527,467 ",2019
Tim Frazier,"$210,692 ",2019
Isaiah Canaan,"$99,290 ",2019
Bonzie Colson,$0 ,2019
Khris Middleton,"$30,603,448 ",2020
Giannis Antetokounmpo,"$25,842,697 ",2020
Eric Bledsoe,"$15,625,000 ",2020
Brook Lopez,"$12,093,024 ",2020
George Hill,"$10,133,907 ",2020
Ersan Ilyasova,"$7,000,000 ",2020
Robin Lopez,"$4,767,000 ",2020
Mirza Teletovic,"$3,500,000 ",2020
Jon Leuer,"$3,169,348 ",2020
D.J. Wilson,"$2,961,120 ",2020
Donte DiVincenzo,"$2,905,800 ",2020
Kyle Korver,"$2,564,753 ",2020
Wesley Matthews,"$2,564,753 ",2020
Spencer Hawes,"$2,007,058 ",2020
Larry Sanders,"$1,865,547 ",2020
Pat Connaughton,"$1,723,050 ",2020
Dragan Bender,"$1,678,854 ",2020
Sterling Brown,"$1,618,520 ",2020
Thanasis Antetokounmpo,"$1,445,697 ",2020
Marvin Williams,"$956,349 ",2020
Frank Mason,$0 ,2020
Cameron Reynolds,$0 ,2020
Khris Middleton,"$33,051,724 ",2021
Giannis Antetokounmpo,"$27,528,088 ",2021
Jrue Holiday,"$25,876,111 ",2021
Brook Lopez,"$12,697,675 ",2021
P.J. Tucker,"$7,969,537 ",2021
Pat Connaughton,"$4,938,273 ",2021
Bobby Portis,"$3,623,000 ",2021
Jon Leuer,"$3,169,348 ",2021
Donte DiVincenzo,"$3,044,160 ",2021
Bryn Forbes,"$2,337,145 ",2021
Larry Sanders,"$1,865,546 ",2021
Rodions Kurucs,"$1,780,152 ",2021
Thanasis Antetokounmpo,"$1,701,593 ",2021
Sam Merrill,"$898,310 ",2021
Jordan Nwora,"$898,310 ",2021
Jeff Teague,"$510,589 ",2021
Mamadi Diakite,"$160,173 ",2021
Elijah Bryant,"$24,611 ",2021
Justin Jackson,$0 ,2021
Axel Toupane,$0 ,2021
Giannis Antetokounmpo,"$39,344,970 ",2022
Khris Middleton,"$35,500,000 ",2022
Jrue Holiday,"$30,133,333 ",2022
Brook Lopez,"$13,302,325 ",2022
Serge Ibaka,"$9,720,900 ",2022
Pat Connaughton,"$5,333,333 ",2022
Bobby Portis,"$4,347,600 ",2022
Grayson Allen,"$4,054,695 ",2022
George Hill,"$4,000,000 ",2022
Jon Leuer,"$3,169,347 ",2022
Wesley Matthews,"$1,958,501 ",2022
Larry Sanders,"$1,865,547 ",2022
Thanasis Antetokounmpo,"$1,729,217 ",2022
Jordan Nwora,"$1,517,981 ",2022
DeMarcus Cousins,"$607,285 ",2022
DeAndre' Bembry,"$601,867 ",2022
Georgios Kalaitzakis,"$462,629 ",2022
Jevon Carter,"$457,149 ",2022
Greg Monroe,"$138,019 ",2022
Langston Galloway,"$128,709 ",2022
Luke Kornet,"$102,831 ",2022
Jeff Dowtin,"$53,176 ",2022
Javin DeLaurier,"$53,176 ",2022
Luca Vildoza,"$42,789 ",2022
Rayjon Tucker,"$28,779 ",2022
Sandro Mamukelashvili,$0 ,2022
Justin Robinson,$0 ,2022
Javonte Smart,$0 ,2022
Lindell Wigginton,$0 ,2022
Giannis Antetokounmpo,"$42,492,492 ",2023
Khris Middleton,"$37,948,276 ",2023
Jrue Holiday,"$33,665,040 ",2023
Brook Lopez,"$13,906,976 ",2023
Bobby Portis,"$10,843,350 ",2023
Jae Crowder,"$10,183,800 ",2023
Grayson Allen,"$8,500,000 ",2023
Joe Ingles,"$6,479,000 ",2023
Pat Connaughton,"$5,728,393 ",2023
MarJon Beauchamp,"$2,485,200 ",2023
Jevon Carter,"$2,100,000 ",2023
Thanasis Antetokounmpo,"$1,878,720 ",2023
Wesley Matthews,"$1,836,090 ",2023
Jontay Porter,"$1,836,090 ",2023
Elijah Hughes,"$1,836,090 ",2023
Marques Bolden,"$1,836,090 ",2023
Luca Vildoza,"$1,836,090 ",2023
Rob Edwards,"$1,637,966 ",2023
Lindell Wigginton,"$1,637,966 ",2023
Goran Dragic,"$390,433 ",2023
Meyers Leonard,"$284,911 ",2023
Meyers Leonard,"$105,522 ",2023
Meyers Leonard,"$105,522 ",2023
