,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
2,Lg Rank,,12,5,8,8.0,16,17,13.0,10,16,13,4,10,9,1980,12,7,7,14.0,16.0,4.0,5,5,9.0
3,Year/Year,,-0.4%,-5.7%,-2.8%,-0.015,4.2%,4.0%,0.001,7.6%,1.1%,3.2%,-11.1%,-8.0%,-3.5%,1980,-9.7%,17.2%,-5.0%,,,,-6.9%,-4.8%,-0.011
4,Opponent,82.0,19805,3456,7487,0.462,1714,2275,0.753,1360,2293,3653,2154,1912,8702,1980,717,358,1638,76.0,305.0,0.249,3380,7182,0.471
5,Opponent/G,,241.5,42.1,91.3,0.462,20.9,27.7,0.753,16.6,28.0,44.5,26.3,23.3,106.1,1980,8.7,4.4,20.0,0.9,3.7,0.249,41.2,87.6,0.471
6,Lg Rank,,12,8,12,4.0,12,12,4.0,21,3,10,14,15,7,1980,6,1,8,19.0,22.0,5.0,8,9,4.0
7,Year/Year,,-0.4%,-6.0%,-0.2%,-0.028,-5.8%,-5.8%,0.0,10.7%,-5.9%,-0.4%,-6.4%,-0.8%,-5.1%,1980,-6.0%,-22.5%,-6.3%,,,,-8.1%,-4.3%,-0.019
0,Team,82.0,19755,3722,7472,0.498,1802,2340,0.77,1261,2408,3669,2319,2198,9276,1981,862,530,1581,30,131,0.229,3692,7341,0.503
1,Team/G,,240.9,45.4,91.1,0.498,22.0,28.5,0.77,15.4,29.4,44.7,28.3,26.8,113.1,1981,10.5,6.5,19.3,0.4,1.6,0.229,45.0,89.5,0.503
2,Lg Rank,,17,4,5,6.0,11,14,5.0,5,11,8,3,21,2,1981,3,5,17,14,16,12.0,4,4,7.0
3,Year/Year,,-0.3%,1.0%,-1.1%,0.01,12.3%,11.3%,0.007,1.3%,0.5%,0.8%,1.8%,13.5%,2.8%,1981,10.8%,3.9%,5.7%,-40.0%,-15.5%,-0.094,1.6%,-0.8%,0.012
4,Opponent,82.0,19755,3311,7220,0.459,2023,2701,0.749,1265,2209,3474,2033,2050,8680,1981,735,400,1670,35,199,0.176,3276,7021,0.467
5,Opponent/G,,240.9,40.4,88.0,0.459,24.7,32.9,0.749,15.4,26.9,42.4,24.8,25.0,105.9,1981,9.0,4.9,20.4,0.4,2.4,0.176,40.0,85.6,0.467
6,Lg Rank,,17,2,13,2.0,22,23,11.0,20,4,7,7,12,6,1981,12,9,4,8,20,1.0,2,12,2.0
7,Year/Year,,-0.3%,-4.2%,-3.6%,-0.003,18.0%,18.7%,-0.004,-7.0%,-3.7%,-4.9%,-5.6%,7.2%,-0.3%,1981,2.5%,11.7%,2.0%,-53.9%,-34.8%,-0.073,-3.1%,-2.2%,-0.004
0,Team,82.0,19805,3544,7015,0.505,1753,2329,0.753,1167,2415,3582,2233,2281,8890,1982,763,455,1589,49,164,0.299,3495,6851,0.51
1,Team/G,,241.5,43.2,85.5,0.505,21.4,28.4,0.753,14.2,29.5,43.7,27.2,27.8,108.4,1982,9.3,5.5,19.4,0.6,2.0,0.299,42.6,83.5,0.51
2,Lg Rank,,13,12,20,4.0,8,14,7.0,11,10,12,5,20,11,1982,4,11,20,12,13,3.0,11,18,6.0
3,Year/Year,,0.3%,-4.8%,-6.1%,0.007,-2.7%,-0.5%,-0.017,-7.5%,0.3%,-2.4%,-3.7%,3.8%,-4.2%,1982,-11.5%,-14.2%,0.5%,63.3%,25.2%,0.07,-5.3%,-6.7%,0.007
4,Opponent,82.0,19805,3297,7066,0.467,1790,2470,0.725,1172,2155,3327,2016,2189,8441,1982,720,350,1538,57,224,0.254,3240,6842,0.474
5,Opponent/G,,241.5,40.2,86.2,0.467,21.8,30.1,0.725,14.3,26.3,40.6,24.6,26.7,102.9,1982,8.8,4.3,18.8,0.7,2.7,0.254,39.5,83.4,0.474
6,Lg Rank,,13,2,8,4.0,12,15,2.0,15,1,2,10,7,4,1982,17,2,5,18,22,11.0,2,5,4.0
7,Year/Year,,0.3%,-0.4%,-2.1%,0.008,-11.5%,-8.6%,-0.024,-7.4%,-2.4%,-4.2%,-0.8%,6.8%,-2.8%,1982,-2.0%,-12.5%,-7.9%,62.9%,12.6%,0.079,-1.1%,-2.5%,0.007
0,Team,82.0,19830,3486,7133,0.489,1731,2299,0.753,1095,2477,3572,2116,2131,8740,1983,662,532,1447,37,169,0.219,3449,6964,0.495
1,Team/G,,241.8,42.5,87.0,0.489,21.1,28.0,0.753,13.4,30.2,43.6,25.8,26.0,106.6,1983,8.1,6.5,17.6,0.5,2.1,0.219,42.1,84.9,0.495
2,Lg Rank,,3,17,19,10.0,11,13,5.0,20,9,16,12,15,17,1983,19,6,3,14,13,16.0,17,19,10.0
3,Year/Year,,0.1%,-1.6%,1.7%,-0.016,-1.3%,-1.3%,0.0,-6.2%,2.6%,-0.3%,-5.2%,-6.6%,-1.7%,1983,-13.2%,16.9%,-8.9%,-24.5%,3.0%,-0.08,-1.3%,1.6%,-0.015
4,Opponent,82.0,19830,3338,7318,0.456,1665,2243,0.742,1303,2343,3646,2043,2145,8379,1983,623,300,1523,38,209,0.182,3300,7109,0.464
5,Opponent/G,,241.8,40.7,89.2,0.456,20.3,27.4,0.742,15.9,28.6,44.5,24.9,26.2,102.2,1983,7.6,3.7,18.6,0.5,2.5,0.182,40.2,86.7,0.464
6,Lg Rank,,3,5,13,2.0,9,7,12.0,18,7,12,9,10,4,1983,3,1,16,6,20,2.0,5,11,2.0
7,Year/Year,,0.1%,1.2%,3.6%,-0.01,-7.0%,-9.2%,0.018,11.2%,8.7%,9.6%,1.3%,-2.0%,-0.7%,1983,-13.5%,-14.3%,-1.0%,-33.3%,-6.7%,-0.073,1.9%,3.9%,-0.009
0,Team,82.0,19905,3432,6970,0.492,1743,2354,0.74,1135,2385,3520,2113,2167,8666,1984,642,489,1415,59,232,0.254,3373,6738,0.501
