,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
7,Year/Year,,-0.1%,2.6%,-3.8%,0.031,27.9%,9.0%,0.053,1.1%,-5.0%,0.031,29.0%,29.7%,-0.004,-8.1%,4.1%,0.4%,5.7%,10.9%,14.0%,20.8%,7.3%,8.7%,1993
0,Team,82.0,19730,3055,7070,0.432,241,773,0.312,2814,6297,0.447,1450,1942,0.747,1271,2150,3421,1629,767,299,1393,2007,7801,1994
1,Team/G,,240.6,37.3,86.2,0.432,2.9,9.4,0.312,34.3,76.8,0.447,17.7,23.7,0.747,15.5,26.2,41.7,19.9,9.4,3.6,17.0,24.5,95.1,1994
2,Lg Rank,,20,25,8,27.0,18,15,22.0,21,7,27.0,24,25,8.0,3,27,20,27,6,27,21,25,27,1994
3,Year/Year,,0.0%,-3.4%,-2.8%,-0.003,-14.8%,-7.6%,-0.026,-2.3%,-2.1%,-0.001,-5.2%,-10.5%,0.042,3.0%,-5.1%,-2.2%,-3.2%,18.2%,-15.8%,-4.5%,-12.8%,-4.2%,1994
4,Opponent,82.0,19730,3212,6508,0.494,249,688,0.362,2963,5820,0.509,1841,2498,0.737,1101,2503,3604,1970,782,507,1428,1649,8514,1994
5,Opponent/G,,240.6,39.2,79.4,0.494,3.0,8.4,0.362,36.1,71.0,0.509,22.5,30.5,0.737,13.4,30.5,44.0,24.0,9.5,6.2,17.4,20.1,103.8,1994
6,Lg Rank,,20,12,3,26.0,6,2,26.0,12,7,26.0,26,26,15.0,11,20,18,12,21,25,3,26,17,1994
7,Year/Year,,0.0%,-5.6%,-4.1%,-0.008,6.4%,5.4%,0.004,-6.4%,-5.1%,-0.008,-21.7%,-18.7%,-0.029,3.6%,-8.6%,-5.2%,-3.8%,-2.5%,-2.5%,12.2%,-11.4%,-9.3%,1994
0,Team,82.0,19930,3227,7342,0.44,386,1200,0.322,2841,6142,0.463,1622,2210,0.734,1514,2433,3947,1941,579,348,1345,1811,8462,1995
1,Team/G,,243.0,39.4,89.5,0.44,4.7,14.6,0.322,34.6,74.9,0.463,19.8,27.0,0.734,18.5,29.7,48.1,23.7,7.1,4.2,16.4,22.1,103.2,1995
