Unnamed: 1,Salary,Year
Andre Barrett,"$744,551 ",2007
Martynas Andriuskevicius,"$664,209 ",2007
Luke Schenscher,"$55,000 ",2007
Larry Hughes,"$12,000,084 ",2008
Kirk Hinrich,"$11,250,000 ",2008
Andres Nocioni,"$8,500,000 ",2008
Drew Gooden,"$6,453,416 ",2008
Ben Gordon,"$4,881,669 ",2008
Tyrus Thomas,"$3,505,320 ",2008
Luol Deng,"$3,320,339 ",2008
Chris Duhon,"$3,248,000 ",2008
Joakim Noah,"$2,135,400 ",2008
Viktor Khryapa,"$1,928,598 ",2008
Thabo Sefolosha,"$1,805,160 ",2008
Cedric Simmons,"$1,629,120 ",2008
Shannon Brown,"$1,044,120 ",2008
JamesOn Curry,"$427,163 ",2008
Aaron Gray,"$427,163 ",2008
Demetris Nichols,"$427,163 ",2008
Thomas Gardner,"$101,451 ",2008
Brad Miller,"$11,375,000 ",2009
Kirk Hinrich,"$10,000,000 ",2009
Luol Deng,"$9,385,000 ",2009
Ben Gordon,"$6,404,750 ",2009
Jerome James,"$6,200,000 ",2009
Tim Thomas,"$6,049,400 ",2009
John Salmons,"$5,104,000 ",2009
Derrick Rose,"$4,822,800 ",2009
Tyrus Thomas,"$3,749,880 ",2009
Joakim Noah,"$2,295,480 ",2009
Lindsey Hunter,"$1,143,473 ",2009
Anthony Roberson,"$797,581 ",2009
Aaron Gray,"$711,517 ",2009
Demetris Nichols,"$87,893 ",2009
Brad Miller,"$12,250,000 ",2010
Luol Deng,"$10,370,425 ",2010
Kirk Hinrich,"$9,500,000 ",2010
Jerome James,"$6,600,000 ",2010
Tim Thomas,"$6,466,600 ",2010
Derrick Rose,"$5,184,480 ",2010
Hakim Warrick,"$3,000,000 ",2010
Joe Alexander,"$2,583,360 ",2010
Joakim Noah,"$2,455,680 ",2010
Acie Law,"$2,216,160 ",2010
Jannero Pargo,"$2,000,000 ",2010
Ronald Murray,"$1,990,000 ",2010
James Johnson,"$1,594,080 ",2010
Lindsey Hunter,"$1,306,455 ",2010
Devin Brown,"$1,100,000 ",2010
Taj Gibson,"$1,039,800 ",2010
Chris Richard,"$43,319 ",2010
Carlos Boozer,"$14,400,000 ",2011
Luol Deng,"$11,345,000 ",2011
Derrick Rose,"$5,546,160 ",2011
Kyle Korver,"$5,000,000 ",2011
Ronnie Brewer,"$4,790,000 ",2011
Joakim Noah,"$3,128,536 ",2011
C.J. Watson,"$3,100,000 ",2011
Omer Asik,"$1,721,000 ",2011
Keith Bogans,"$1,600,000 ",2011
Kurt Thomas,"$1,352,181 ",2011
Brian Scalabrine,"$1,229,255 ",2011
Taj Gibson,"$1,117,680 ",2011
John Lucas,"$208,264 ",2011
Carlos Boozer,"$13,500,000 ",2012
Luol Deng,"$12,325,000 ",2012
Joakim Noah,"$12,000,000 ",2012
Derrick Rose,"$6,993,708 ",2012
Richard Hamilton,"$5,000,000 ",2012
Kyle Korver,"$5,000,000 ",2012
Ronnie Brewer,"$4,710,000 ",2012
C.J. Watson,"$3,400,000 ",2012
Omer Asik,"$1,857,500 ",2012
Brian Scalabrine,"$1,352,181 ",2012
Taj Gibson,"$1,195,680 ",2012
Jimmy Butler,"$1,020,960 ",2012
John Lucas,"$915,852 ",2012
Mike James,"$277,566 ",2012
Derrick Rose,"$16,402,500 ",2013
Carlos Boozer,"$15,000,000 ",2013
Luol Deng,"$13,305,000 ",2013
Joakim Noah,"$11,300,000 ",2013
Richard Hamilton,"$5,000,000 ",2013
Kirk Hinrich,"$3,941,000 ",2013
Taj Gibson,"$2,155,811 ",2013
Marco Belinelli,"$1,957,000 ",2013
Nazr Mohammed,"$1,352,181 ",2013
Vladimir Radmanovic,"$1,352,181 ",2013
Nate Robinson,"$1,146,337 ",2013
Jimmy Butler,"$1,097,520 ",2013
Marquis Teague,"$1,028,400 ",2013
Daequan Cook,"$589,769 ",2013
Derrick Rose,"$17,632,688 ",2014
Carlos Boozer,"$15,300,000 ",2014
Luol Deng,"$14,275,000 ",2014
Joakim Noah,"$11,100,000 ",2014
Taj Gibson,"$7,550,000 ",2014
Andrew Bynum,"$6,000,000 ",2014
Kirk Hinrich,"$4,059,000 ",2014
Mike Dunleavy,"$3,183,000 ",2014
Tony Snell,"$1,409,040 ",2014
Nazr Mohammed,"$1,399,507 ",2014
Jimmy Butler,"$1,112,880 ",2014
Marquis Teague,"$1,074,720 ",2014
Richard Hamilton,"$1,000,000 ",2014
Derrick Rose,"$18,862,875 ",2015
Carlos Boozer,"$13,550,000 ",2015
Joakim Noah,"$12,200,000 ",2015
Taj Gibson,"$8,000,000 ",2015
Pau Gasol,"$7,128,000 ",2015
Nikola Mirotic,"$5,305,000 ",2015
Mike Dunleavy,"$3,326,235 ",2015
Kirk Hinrich,"$2,730,000 ",2015
Doug McDermott,"$2,277,960 ",2015
Jimmy Butler,"$2,008,748 ",2015
Tony Snell,"$1,472,400 ",2015
Nazr Mohammed,"$1,448,490 ",2015
Aaron Brooks,"$1,145,685 ",2015
E'Twaun Moore,"$948,163 ",2015
Cameron Bairstow,"$507,336 ",2015
Richard Hamilton,"$333,333 ",2015
Tornike Shengelia,,2015
Derrick Rose,"$20,093,063 ",2016
Jimmy Butler,"$15,260,000 ",2016
Joakim Noah,"$13,400,000 ",2016
Taj Gibson,"$8,500,000 ",2016
Pau Gasol,"$7,448,760 ",2016
Nikola Mirotic,"$5,543,725 ",2016
Mike Dunleavy,"$4,500,000 ",2016
Doug McDermott,"$2,380,440 ",2016
Aaron Brooks,"$2,000,000 ",2016
Tony Snell,"$1,535,880 ",2016
Bobby Portis,"$1,391,160 ",2016
E'Twaun Moore,"$1,015,421 ",2016
Justin Holiday,"$947,300 ",2016
Cameron Bairstow,"$845,059 ",2016
Cristiano Felicio,"$525,090 ",2016
Dwyane Wade,"$23,200,000 ",2017
Jimmy Butler,"$17,552,209 ",2017
Rajon Rondo,"$14,000,000 ",2017
Robin Lopez,"$13,219,250 ",2017
Nikola Mirotic,"$5,782,450 ",2017
Anthony Morrow,"$3,488,000 ",2017
Michael Carter-Williams,"$3,183,526 ",2017
Cameron Payne,"$2,112,480 ",2017
Denzel Valentine,"$2,092,200 ",2017
Joffrey Lauvergne,"$1,709,720 ",2017
Jerian Grant,"$1,643,040 ",2017
Bobby Portis,"$1,453,680 ",2017
Isaiah Canaan,"$1,015,696 ",2017
Cristiano Felicio,"$874,636 ",2017
Paul Zipser,"$750,000 ",2017
R.J. Hunter,"$425,000 ",2017
Thomas Walkup,"$69,500 ",2017
Dwyane Wade,"$15,550,000 ",2018
Robin Lopez,"$13,788,500 ",2018
Omer Asik,"$10,595,505 ",2018
Cristiano Felicio,"$7,843,500 ",2018
Justin Holiday,"$4,615,385 ",2018
Kris Dunn,"$4,046,760 ",2018
Quincy Pondexter,"$3,853,931 ",2018
Lauri Markkanen,"$3,821,640 ",2018
Noah Vonleh,"$3,505,233 ",2018
Zach LaVine,"$3,202,217 ",2018
Rajon Rondo,"$3,000,000 ",2018
Cameron Payne,"$2,203,440 ",2018
Denzel Valentine,"$2,186,400 ",2018
Sean Kilpatrick,"$2,163,006 ",2018
Jerian Grant,"$1,713,840 ",2018
Bobby Portis,"$1,516,320 ",2018
Willie Reed,"$1,471,382 ",2018
Tony Allen,"$1,471,382 ",2018
Paul Zipser,"$1,312,611 ",2018
David Nwaba,"$1,312,611 ",2018
Kay Felder,"$489,448 ",2018
Isaiah Canaan,"$200,000 ",2018
Jarell Eddie,"$100,353 ",2018
Jaylen Johnson,"$87,552 ",2018
C.J. Fair,"$82,944 ",2018
Diamond Stone,"$50,000 ",2018
Antonio Blakeney,$0 ,2018
Ryan Arcidiacono,$0 ,2018
Otto Porter,"$26,011,913 ",2019
Zach LaVine,"$19,500,000 ",2019
Robin Lopez,"$14,357,750 ",2019
Omer Asik,"$11,286,516 ",2019
Cristiano Felicio,"$8,470,980 ",2019
Lauri Markkanen,"$4,536,120 ",2019
Wendell Carter,"$4,441,200 ",2019
Kris Dunn,"$4,221,000 ",2019
Cameron Payne,"$3,263,295 ",2019
Carmelo Anthony,"$2,393,887 ",2019
Denzel Valentine,"$2,280,600 ",2019
Chandler Hutchison,"$1,991,520 ",2019
MarShon Brooks,"$1,656,092 ",2019
Timothe Luwawu-Cabarrot,"$1,544,951 ",2019
Wayne Selden,"$1,544,951 ",2019
Antonio Blakeney,"$1,349,383 ",2019
Ryan Arcidiacono,"$1,349,383 ",2019
Shaquille Harrison,"$1,311,265 ",2019
Michael Carter-Williams,"$1,200,000 ",2019
Walt Lemon,"$99,107 ",2019
JaKarr Sampson,"$88,531 ",2019
Brandon Sampson,$0 ,2019
Rawle Alkins,$0 ,2019
